Smiles,Boiling_point_K
CC/C(C)=C\CC,369.0060476
CC/C=C/C1CC1,366.5943221
CC/C=C/CC,339.3994048
CC/C=C/CCC,367.9223445
CC/C=C/CCCC,394.8394019
CC/C=C/CCCCC,420.2259359
CC/C=C\C1CC1,366.5943221
CC/C=C\CC,339.3994048
CC/C=C\CCC,367.9223445
CC/C=C\CCCC,394.8394019
CC/C=C\CCCCC,420.2259359
CC1(C)C=CC=C1,371.802394
CC1(C)C=CCC1,369.3522025
CC1(C)CC=CC1,367.5336128
CC1(C)CCCC1,361
CC1(CC)CCC1,367.7465334
CC1(CC)CCCC1,392.5526003
CC1=C(C)C(C)=CC=C1,442.0358897
CC1=C(C)C(CC)=CC=C1,462.8996091
CC1=C(C)C1(C)C,376.5745834
CC1=C(C)C=C(C)C(C)=C1,471.9257179
CC1=C(C)CC=C1,382.3480043
CC1=C(C)CCC1,379.8
CC1=CC(C)=C(C)C(C)=C1,471.9257179
CC1=CC(C)=CC(C)=C1,440.9925141
CC1=CC(C)=CC=C1,418.2988326
CC1=CC(CC)=CC=C1,439.054331
CC1=CC2=C(CCC2)C=C1,475.3673206
CC1=CC=C(C)C(C)=C1,440.9925141
CC1=CC=C(C)C(C)=C1C,471.9257179
CC1=CC=C(C)C(CC)=C1,462.8996091
CC1=CC=C(C)C=C1,410.5326928
CC1=CC=C(CC)C=C1,435.8125976
CC1=CC=CC(C)=C1,410.5326928
CC1=CC=CC2=C1CCC2,475.3673206
CC1=CC=CC=C1,384.62
CC1=CC=CC=C1C,412.3960347
CC1=CC=CCC1,380.0190266
CC1=CCC(C)=C1,382.3621686
CC1=CCC(CC1)C(C)=C,451.3780959
CC1=CCC=C1,350.498479
CC1=CCC=CC1,375.6917279
CC1=CCCC1,346.1354311
CC1=CCCC=C1,380.0638187
CC1=CCCCC1,378.3512813
CC1C(C(C)C)C1,357.7455503
CC1C(C)(C)CCCC1,418.8578616
CC1C(C)C(C)C1,357.7633724
CC1C(C)C(C)CC1,388.0942867
CC1C(C)CCC1,366.8043684
CC1C(C=CC)C1,361.4300633
CC1C(CC)CC1,365.102594
CC1C(CC=C)C1,359.4643459
CC1C=C(C)CC1,372.1143108
CC1C=C(C)CCC1,397.2219148
CC1C=CC=CC1,372.7602927
CC1C=CCC1,335.5386564
CC1C=CCC=C1,366.5396261
CC1C=CCCC1,370.0395981
CC1CC(C)(C)CC1,380.5951844
CC1CC(C)(C)CCC1,418.8578616
CC1CC(C)C(C)C1,388.0942867
CC1CC(C)C(C)CC1,413.9376183
CC1CC(C)C=C1,361.9814487
CC1CC(C)CC1,364.757799
CC1CC(CC)C1,361.374251
CC1CC2=C(C=CC=C2)C1,466.7354434
CC1CC=C(C)C1,372.1254181
CC1CC=CCC1,370.0417065
CC1CCC(C)(C)CC1,418.8578616
CC1CCC(CC)CC1,419.6310789
CC1CCC=C1C,372.1471192
CC1CCCC1,343.2481591
CC1CCCCC1,375.954932
CC1[C@@H](C)CCC1,367.9951537
CC=C(C)C=CC,377.624633
CC=C(C)CCC,368.821851
CC=C(C1CC1)C,369.0068308
CC=C(CC)CC,367.7827314
CC=C1C=CC=C1,387.3841906
CC=C1C=CCC1,379.5814289
CC=C1CCCC1,373.5580356
CC=C=C1CCC1,375.7509581
CC=C=CC(C)C,363.2581786
CC=CC(C)(C)C,359.9544065
CC=CC(C)CC,361.8039634
CC=CC1(C)CC1,366.3891531
CC=CC1C(C)C1,361.4300633
CC=CC=CCC,373.104274
CC=CCC,309.2318038
CC=CCC(C)C,360.7191119
CC=CCC1CC1,365.5880693
CC=CCC=CC,370.9615943
CC=CCCCC,369.6493371
CC=C[C@@H](C)CC,361.8039634
CC=C[C@@H]1[C@H](C)C1,361.4300633
CC=C[C@H]1[C@H](C)C1,361.4300633
CCC(C)(C)CC,359.5211408
CCC(C)(C)CCC,385.5629633
CCC(C)(C)CCO,436.9949864
CCC(C)(C)COC,386.9881281
CCC(C)(CC)CO,431.4950919
CCC(C)(OC)CC,380.7398944
CCC(C)C,302.5105922
CCC(C)C(C)CC,385.9954743
CCC(C)C(C)CO,430.1365715
CCC(C)CC,334.375854
CCC(C)CC(C)CC,410.8752705
CCC(C)CC(C)CCC,433.6148596
CCC(C)CCC,362.1704323
CCC(C)CCC(C)CC,433.6148596
CCC(C)CCCC,391.1218515
CCC(C)CCCCC,416.198313
CCC(C)CCCCCC,439.3094501
CCC(C)CCCCCCC,460.6616564
CCC(C)CCCCCCCC,480.4629759
CCC(C)CCCO,436.0891686
CCC(C)CCOC,400.0769789
CCC(CC)=C,336.6388321
CCC(CC)CC,361.4665066
CCC(CC)CCC,391.1218515
CCC(CC)CCCC,416.198313
CCC(CC)CCO,436.8924554
CCC(CC)COC,403.5092799
CCC(O)(C)CCC,419.4333143
CCC(O)(CC)CC,424.0871244
CCC(O)C(C)CC,427.9335948
CCC(O)CC(C)C,427.3029609
CCC(O)CCCC,431.9577429
CCC(OC)CCC,386.234018
CCC(OCC)CC,383.1063241
CCC/C=C/CCCC,420.2259359
CCC1(CC)CC1,367.0015801
CCC1=CC(CC)=CC=C1,457.7320788
CCC1=CC=C(CC)C=C1,457.7320788
CCC1=CC=CC1,382.3750957
CCC1=CC=CC=C1,407.4954127
CCC1=CCC=C1,377.0749709
CCC1=CCCC1,377.2961537
CCC1=CCCCC1,401.0807178
CCC1C(C=C)C1,358.2674033
CCC1C(CC)C1,362.9512537
CCC1C=CC=C1,370.493344
CCC1C=CCC1,369.3086443
CCC1CC=CC1,367.6578111
CCC1CCCC1,374.4534175
CCC1CCCCC1,405.036757
CCC=C=CCC,360.4095312
CCC=CC1CC1,366.5943221
CCC=CCCC,369.127638
CCCC,276.8813836
CCCC(C)(C)CCCC,426.450101
CCCC(C)(C)CO,434.0220788
CCCC(C)CCC,391.1218515
CCCC(C)CCCC,416.198313
CCCC(C)CCCCC,439.3094501
CCCC(C)CCCCCC,460.6616564
CCCC(C)CCCCCCC,480.4629759
CCCC(C)CCO,435.4562585
CCCC(C)COC,399.5583172
CCCC(CC)CCC,416.198313
CCCC(CC)CCCC,439.3094501
CCCC(CC)CO,435.6591798
CCCC(O)CCC,432.7226569
CCCC1=CC(C)=CC=C1,457.7320788
CCCC1=CC=C(C)C=C1,457.7320788
CCCC1=CC=CC=C1,433.1984905
CCCC1=CC=CC=C1C,457.7320788
CCCC1C(C)C1,364.4105024
CCCC1CC(C)CC1,417.1468825
CCCC1CCC1,373.9935674
CCCCC,310.680615
CCCCC(C)CCCC,439.3094501
CCCCC(C)CCCCC,460.6616564
CCCCC(C)CO,431.6589363
CCCCC1CC1,372.9501424
CCCCCC,338.9163821
CCCCCCC,368.827711
CCCCCCCC,396.3927674
CCCCCCCCC,424.3481456
CCCCCCCCCC,447.8361434
CCCCCCCCCCC,469.6748556
CCCCCCCCCCCC,490.0389969
CCCCCCCO,440.801913
CCCCCCOC,402.5527702
CCCCCOCC,397.5777769
CCCCOC(C)C,376.6718257
CCCCOCCC,395.8868921
CCC[C@@H]1[C@H](C)C1,364.4105024
CC[C@@H]1[C@H](C)CCC1,392.2183601
CC[C@@H]1[C@H](CC)C1,362.9512537
CC[C@H]1[C@H](C)CCC1,392.2183601
CC[C@H]1[C@H](CC)C1,362.9512537
C[C@@H]1CC(C)CC1,364.757799
C[C@@H]1C[C@@H](C)CC1,364.757799
C[C@@H]1C[C@H](C)CC1,365.1856911
C[C@@H]1C[C@H](C)CCC1,395.7314947
C[C@@H]1C[C@H](CC)CC1,392.2183601
C[C@@H]1[C@@H](C)C=CC1,363.9612383
C[C@@H]1[C@@H](C)CCC1,367.9951537
C[C@@H]1[C@H](C)CCC1,366.8043684
C[C@@H]1[C@H](C)CCCC1,395.7314947
C[C@H](O)CCCCC,433.4899514
C[C@H]1CC(C)CC1,364.757799
C[C@H]1CC[C@H](C)CC1,395.7314947
C[C@H]1C[C@H](C)CC1,364.757799
C[C@H]1C[C@H](C)CCC1,395.7314947
C[C@H]1C[C@H](CC)CC1,392.2183601
C[C@H]1[C@H](C)CCC1,366.8043684
C[C@H]1[C@H](C)CCCC1,395.7314947
O=C(C)CC(C)C,370.0766781
