NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),Density (g/mL),Boiling Point (K)
41,2-Methylhex-3-ene,CC(C)C=CCC,98.21115961,81.87665886,61.54255181,30497.13842,43835.85796,15.41553002,0.695712137,357.9007628
42,"1,1-Diethylcyclopropane",CCC1(CC)CC1,89.98366165,85.98296054,20.79936584,32692.27436,43957.85432,12.24812676,0.743718611,367.0015801
43,Butylcyclopropane,CCCCC1CC1,49.32314038,48.18943018,34.79938388,33259.69098,43586.92993,8.408779755,0.763065695,372.9501424
44,5-Methyl-1-hexene,C=CCCC(C)C,79.75708101,67.85835558,28.67464364,30148.16743,43857.71266,19.75657884,0.687408567,357.3168995
45,2-Ethyl-3-methylbut-1-ene,C=C(CC)C(C)C,97.75945967,85.25676513,75.41338198,31725.68824,43913.83532,19.74151021,0.722453141,361.5658182
46,4-Methylhex-2-ene,CC=CC(C)CC,99.60953832,87.75106819,46.17368275,30583.17746,43840.98576,16.30643223,0.697593289,361.8039634
47,Isopropylcyclobutane,CC(C1CCC1)C,73.4187744,64.12462202,41.43085214,32397.47002,43213.05243,12.48128135,0.749714917,367.4383221
48,"Butene, ethylmethyl-",C=C(CC)CCC,86.27593413,80.81387298,62.32981518,32160.86428,44248.76802,10.74905148,0.726819428,370.4310188
49,"Cyclobutane, propyl-",CCCC1CCC1,47.06533157,51.18113603,35.48305973,33509.33379,43590.71687,7.020167639,0.768726376,373.9935674
50,"Butane, 2-cyclopropyl-",CC(C1CC1)CC,87.81423383,75.25394922,37.3339357,32739.62841,43435.54271,18.67401926,0.753752028,360.7686136
51,"1,2-Diethylcyclopropane",CCC1C(CC)C1,78.90848436,75.81188016,36.95556822,32491.84383,43380.77647,16.65758779,0.748991753,362.9512537
52,"trans-1,2-Dimethylcyclopentane",C[C@H]1[C@H](C)CCC1,81.61499086,76.83966868,41.4783488,32526.66329,43170.54579,14.9986266,0.753445728,367.9951537
53,2-Ethyl-1-pentene,C=C(CC)CCC,86.27593413,80.81387298,62.32981518,32160.86428,44248.76802,10.74905148,0.726819428,370.4310188
54,1-Isopropyl-2-methylcyclopropane,CC1C(C(C)C)C1,90.78149567,79.94109987,49.01079412,32153.96067,43613.04483,27.62633283,0.73725558,357.7455503
55,1-Methyl-2-propylcyclopropane,CCCC1C(C)C1,78.86156336,71.27469466,43.11998617,32699.1849,43506.53078,16.24830867,0.751592561,364.4105024
56,(2-Methylpropyl)-cyclopropane,CC(C)CC1CC1,79.89005732,70.98722805,37.94726396,32475.08932,43373.44535,16.51136507,0.748732065,363.1670889
57,"(1S,2S)-1,2-Dimethylcyclopentane",C[C@@H]1[C@@H](C)CCC1,81.61499086,76.83966868,41.4783488,32526.66329,43170.54579,14.9986266,0.753445728,367.9951537
58,"(3R)-3,4-Dimethylpent-1-ene",C=C[C@H](C)C(C)C,98.93742959,81.64132127,44.81229578,29510.52023,42795.98464,31.40644588,0.689562829,354.4305726
59,"trans-1,2-Diethyl-cyclopropane",CC[C@H]1[C@H](CC)C1,78.90848436,75.81188016,36.95556822,32491.84383,43380.77647,16.65758779,0.748991753,362.9512537
60,"cis-1,2-Diethylcyclopropane",CC[C@@H]1[C@H](CC)C1,78.90848436,75.81188016,36.95556822,32491.84383,43380.77647,16.65758779,0.748991753,362.9512537
61,cis-1-Methyl-2-isopropylcyclopropane,CC([C@@H]1[C@H](C)C1)C,90.78149567,79.94109987,49.01079412,32153.96067,43613.04483,27.62633283,0.73725558,357.7455503
62,cis-1-Methyl-2-propylcyclopropane,CCC[C@@H]1[C@H](C)C1,78.86156336,71.27469466,43.11998617,32699.1849,43506.53078,16.24830867,0.751592561,364.4105024
63,"(1S,3S)-1,3-Dimethylcyclopentane",C[C@@H]1C[C@@H](C)CC1,83.05074247,75.27397442,39.54618053,32813.31463,43307.50497,16.18726677,0.757681946,364.757799
64,"(3S)-1,3-Dimethylcyclopentane",C[C@@H]1CC(C)CC1,83.05074247,75.27397442,39.54618053,32813.31463,43307.50497,16.18726677,0.757681946,364.757799
65,"(3R)-1,3-Dimethylcyclopentane",C[C@H]1CC(C)CC1,83.05074247,75.27397442,39.54618053,32813.31463,43307.50497,16.18726677,0.757681946,364.757799
66,"1,2,3-Trimethylcyclobutane",CC1C(C)C(C)C1,87.15806513,77.81513561,45.64331819,32123.82097,43480.55852,25.55021509,0.738808839,357.7633724
67,1-Ethyl-1-methylcyclobutane,CC1(CC)CCC1,85.88740281,83.30041391,25.66939328,32848.33427,43920.13095,10.68584989,0.747910663,367.7465334
68,1-Ethyl-2-methylcyclobutane,CC1C(CC)CC1,78.02080152,68.07897674,42.4079955,32844.22182,43458.64732,14.44642276,0.755758033,365.102594
69,1-Ethyl-3-methylcyclobutane,CC1CC(CC)C1,82.99699239,66.22782844,37.00899378,32893.95941,43378.50871,15.71292072,0.758300836,361.374251
70,"(1S)-1,2-Dimethylcyclopentane",CC1[C@@H](C)CCC1,81.61499086,76.83966868,41.4783488,32526.66329,43170.54579,14.9986266,0.753445728,367.9951537
71,(S)-4-Methyl-1-hexene,C=CC[C@@H](C)CC,85.70461944,63.03471195,31.90831096,30179.37374,43727.07566,16.59974941,0.690175899,358.6432455
72,"(3S)-2,3-Dimethylpent-1-ene",C=C(C)[C@@H](C)CC,101.6002323,84.36087623,63.96366413,31914.63678,44110.89177,23.58689264,0.723509217,364.4847044
73,(R)-3-Methyl-1-hexene,C=C[C@H](C)CCC,84.19171472,73.76550842,35.8383872,30295.53269,43657.81277,22.85204028,0.693931527,360.4651709
74,(4S)-4-Methylhex-2-ene,CC=C[C@@H](C)CC,99.60953832,87.75106819,46.17368275,30583.17746,43840.98576,16.30643223,0.697593289,361.8039634
75,Toluene,CC1=CC=CC=C1,119.4661573,102.8330704,197.7865627,34772.16337,40461.81388,10.08648835,0.859382218,393.480196
76,Cycloheptatriene,C1=CC=CC=CC1,133.840057,123.016376,145.239349,35026.42432,41231.23559,13.99040434,0.849511877,379.3264075
77,3-Prop-2-enylidenecyclobutene,C=CC=C1C=CC1,132.7409801,126.3210493,134.3919418,37307.0061,41568.22144,15.93255961,0.89748863,385.8587533
78,"3-Methylene-1,4-cyclohexadiene",C=C1C=CCC=C1,123.2366548,145.3896858,154.9915564,37795.39252,41621.14138,15.92592282,0.908081597,379.0704265
79,6-Methylfulvene,CC=C1C=CC=C1,129.8941308,100.611986,125.0018572,35411.40577,41338.87148,17.53546946,0.856612783,387.3841906
80,"5-Methylene-1,3-cyclohexadiene",C=C1C=CC=CC1,137.5083176,127.9298939,136.5174625,37286.18829,41244.22221,15.03499865,0.904034221,388.3540713
81,"1,2,4,5-Hexatetraene, 3-methyl-",C=C=C(C)C=C=C,112.3135723,83.05776571,105.2605312,36655.16022,43804.83121,23.25502257,0.836783506,379.8761343
82,"3,3-Dimethylpenta-1,4-diyne",C#CC(C)(C)C#C,153.9290497,161.2912311,131.3152145,34116.81718,40674.60867,1.176446335,0.838774319,365.1122929
83,5-Methylidenebicyclo[2.2.0]hex-2-ene,C=C1C2C=CC2C1,138.2761833,77.24207533,51.6377848,39974.96498,41286.92115,7.430133855,0.968223444,361.7404084
84,"Anti-tricyclo(3.2.0.0(2,4))hept-6-ene",C12C3CC3C1C=C2,96.67735941,86.37533792,77.02839016,40178.60266,42315.31621,35.44281304,0.949504961,364.6513608
85,"Cyclopropane, 1-ethynyl-1-ethenyl-",C=CC1(C#C)CC1,142.6797432,126.7063528,142.1866142,33834.72056,41511.6505,8.60529636,0.815065654,357.7182848
86,1-Ethynylcyclopentene,C#CC1=CCCC1,119.968166,131.314653,154.5990427,34105.93187,43264.28635,23.56006985,0.788316063,383.7070958
