NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),Density (g/mL),Boiling Point (K)
172,"2,4-Dimethyl-1,4-pentadiene",C=C(C)CC(C)=C,106.2495711,118.3216001,100.7560624,33955.08053,43667.90036,12.51175506,0.777575295,380.5910159
173,"1,3-Hexadiene, 4-methyl-",C=CC=C(C)CC,107.5570788,103.680281,92.46337943,32748.67535,43615.02504,12.48477734,0.750857653,378.0431426
174,"Cyclopropane, (1-ethylvinyl)-",C=C(C1CC1)CC,117.6433519,87.05692504,65.99058452,35923.66812,43578.41315,23.27278699,0.824345485,369.1448366
175,"1,3-Butadiene, 2-ethyl-3-methyl-",C=C(CC)C(C)=C,104.1141751,112.9992007,129.7038946,34717.78237,44125.82371,11.7302104,0.786790579,372.4026321
176,4-Methyl-2-hexyne,CC#CC(C)CC,109.5250604,156.3398935,22.22062514,32319.90959,43617.25665,4.361070452,0.74098905,371.0368477
177,Tetramethylcyclopropene,CC1=C(C)C1(C)C,87.87520797,111.2274343,44.42726225,32762.39863,43168.72053,0.03,0.758938375,376.5745834
178,"5-Methylhexa-1,3-diene",C=CC=CC(C)C,127.5291329,94.47195189,86.51385189,31355.96718,42879.93729,18.33979256,0.731250304,373.8643349
179,3-Methyl-1-hexyne,C#CC(C)CCC,111.6630689,116.5852751,46.66047135,31363.48355,43033.39147,12.91988447,0.728817378,366.6601551
180,"2-Hexyne, 5-methyl-",CC#CCC(C)C,113.4006888,120.7527118,46.28564018,32061.14117,43828.19972,4.885723531,0.731518551,371.1477758
181,"5-Methylhexa-2,3-diene",CC=C=CC(C)C,88.32465217,95.03560311,19.97023999,31299.76764,43576.56758,20.77486362,0.718270607,363.2581786
182,Tert-Butylallene,C=C=CC(C)(C)C,127.9040905,102.0506878,77.80465383,30761.58648,42515.14949,22.72506488,0.723544121,358.9423392
183,"3,3-Dimethyl-1-pentyne",C#CC(C)(C)CC,134.4606841,131.950099,54.1732284,31832.51017,43242.50963,12.22594045,0.736139286,359.1935555
184,"1-Pentyne, 4,4-dimethyl-",C#CCC(C)(C)C,129.0774684,98.40441301,33.07098748,31756.35823,42928.76369,20.80589795,0.739745464,374.8737746
185,"Cyclobutane, (1-methylethylidene)-",CC(C)=C1CCC1,94.27816676,76.89246109,96.91622688,34523.01567,43169.84907,8.681946358,0.799702024,375.6369954
186,"Hepta-2,5-diene",CC=CCC=CC,90.43082347,88.54925458,83.57772295,31478.11964,43771.09619,9.957521766,0.719153103,370.9615943
187,1-Methyl-1-prop-1-enylcyclopropane,CC=CC1(C)CC1,104.8286038,80.79726832,57.3224152,33214.46857,43424.23988,12.25491929,0.764883131,366.3891531
188,"1-Pentyne, 3-ethyl-",C#CC(CC)CC,102.3561751,116.6214242,41.37317323,31076.40551,43315.06907,16.12812914,0.717450212,367.0574598
189,"2,4-Hexadiene, 2-methyl-, (E)-",CC(C)=C/C=C/C,102.7168007,89.27127049,86.47229387,32174.49521,43701.09566,12.5943598,0.736240012,376.7626383
190,4-Ethylcyclopentene,CCC1CC=CC1,97.70757951,80.37509799,51.3964455,33810.31393,43174.73935,14.80575849,0.783104066,367.6578111
191,"Hepta-1,4-diene",C=CCC=CCC,95.60466374,71.18896406,59.09128732,32019.32634,44347.33667,14.14389687,0.722012386,365.9571575
192,"3,5-Dimethylcyclopentene",CC1CC(C)C=C1,91.61580219,81.31792904,59.43993865,32368.79743,42538.67536,20.30224875,0.760926314,361.9814487
193,3-Butenylcyclopropane,C=CCCC1CC1,84.85289469,76.45929409,37.3172485,33140.57475,42965.55268,16.3867405,0.771328953,366.2252781
194,"Cyclopentane, 1-methyl-3-methylene",C=C1CC(C)CC1,117.8114087,90.20810735,73.77990651,36580.66253,43628.20929,21.94777933,0.838463534,370.4700236
195,1-Ethenyl-2-ethylcyclopropane,CCC1C(C=C)C1,88.54919965,67.5689671,55.70124841,31400.16049,41726.60157,36.02596648,0.752521397,358.2674033
196,1-Methyl-2-prop-1-enylcyclopropane,CC=CC1C(C)C1,89.33728629,73.30949195,60.08550529,33017.33365,43053.24242,19.65170851,0.766895402,361.4300633
197,1-Allyl-2-methylcyclopropane,CC1C(CC=C)C1,85.15724018,72.64567788,49.3824929,32103.5114,42417.24381,32.63993384,0.756850481,359.4643459
198,But-1-enylcyclopropane,CCC=CC1CC1,100.1559525,75.43415408,48.01974219,34019.88074,43354.06233,15.33927323,0.784698801,366.5943221
199,But-2-enylcyclopropane,CC=CCC1CC1,99.74046573,70.91392877,48.56660178,34287.42003,43389.35625,12.64788057,0.790226521,365.5880693
200,"1-Hexyne, 4-methyl",C#CCC(C)CC,110.7983599,117.8892745,42.52172241,31381.02805,43032.09288,12.39720434,0.729247079,366.456617
201,"1-Pentyne, 3,4-dimethyl-",C#CC(C)C(C)C,115.1406788,127.0938049,70.85737133,30982.71486,42299.17607,25.18833356,0.732466155,361.8506908
202,"2-Methyl-2,3-hexadiene",CC(C)=C=CCC,93.99573423,96.52441155,55.807265,33007.05146,45487.56254,12.82686192,0.725628053,366.1922236
203,1-Ethyl-3-methylenecyclobutane,C=C1CC(CC)C1,108.9992521,87.97294658,67.63185446,35805.02365,43414.55064,16.11299683,0.824724041,369.7629274
204,"5-Methyl-1,2-hexadiene",C=C=CCC(C)C,91.24574611,74.40972387,47.6606804,31228.7402,43499.04094,23.92249739,0.717917902,360.8272006
205,"1,4-Hexadiene, 2-methyl-, (E)-",C=C(C)C/C=C/C,99.73339973,104.3759226,85.27239559,32918.36211,43628.63677,12.04669422,0.754512736,379.7488227
206,"1,1,2-Trimethyl-3-methylenecyclopropane",C=C1C(C)C1(C)C,108.4435887,93.77452838,86.12233179,33141.3301,42583.14726,40.02233014,0.778273384,369.413436
207,"1,1-Dimethyl-3-methylenecyclobutane",C=C1CC(C)(C)C1,109.7147546,94.38202558,71.99842062,34325.27785,43335.76743,25.42496343,0.792077304,371.093377
208,"3,4-Heptadiene",CCC=C=CCC,74.79395728,55.56232972,47.25014922,31869.623,44996.00744,11.85762737,0.708276685,360.4095312
209,"Cyclopentane, 1-methyl-2-methylene-",C=C1C(C)CCC1,118.7201781,90.67277885,72.92066552,36570.08417,43614.13945,22.31340874,0.838491476,370.4702098
210,cis-2-Butenyl-cyclopropane,C/C=C\CC1CC1,99.74046573,70.91392877,48.56660178,34287.42003,43389.35625,12.64788057,0.790226521,365.5880693
211,"1,3-Dimethylcyclopentene",CC1C=C(C)CC1,98.30116346,77.8723413,75.57352977,34200.83521,43737.8732,16.73879495,0.78195012,372.1143108
212,"5-Methyl-1,3-hexadiene",C=CC=CC(C)C,127.5291329,94.47195189,86.51385189,31355.96718,42879.93729,18.33979256,0.731250304,373.8643349
213,1-(1-Propenyl)-2-methylcyclopropane,CC1C(C=CC)C1,89.33728629,73.30949195,60.08550529,33017.33365,43053.24242,19.65170851,0.766895402,361.4300633
214,cis-1-Butenyl-cyclopropane,CC/C=C\C1CC1,100.1559525,75.43415408,48.01974219,34019.88074,43354.06233,15.33927323,0.784698801,366.5943221
215,trans-1-Butenyl-cyclopropane,CC/C=C/C1CC1,100.1559525,75.43415408,48.01974219,34019.88074,43354.06233,15.33927323,0.784698801,366.5943221
216,2-Cyclopropyl-2-butene,CC(C1CC1)=CC,101.5117411,73.66212399,69.2562922,34235.84181,43829.47485,17.09231573,0.781114579,369.0068308
217,"1,5-Heptadiene",C=CCCC=CC,72.6909244,66.44455349,58.07884377,32386.52758,44817.06937,13.756789,0.722638228,368.4749075
218,"1,5-Heptadiene, (Z)-",C=CCC/C=C\C,72.6909244,66.44455349,58.07884377,32386.52758,44817.06937,13.756789,0.722638228,368.4749075
219,"2-Methyl-1,4-hexadiene",C=C(C)CC=CC,99.73339973,104.3759226,85.27239559,32918.36211,43628.63677,12.04669422,0.754512736,379.7488227
220,"4-Methyl-1,4-hexadiene",C=CCC(C)=CC,96.99259105,92.03685208,60.11754194,32989.07834,44757.14119,15.54280679,0.737068487,372.3166044
221,"2,5-Heptadiene, (E,E)-",C/C=C/C/C=C/C,90.43082347,88.54925458,83.57772295,31478.11964,43771.09619,9.957521766,0.719153103,370.9615943
222,"2,4-Heptadiene",CC=CC=CCC,99.14920293,93.58917917,77.25777445,31728.99527,43647.31304,10.59944935,0.726940402,373.104274
223,"1,4-Heptadiene",C=CCC=CCC,95.60466374,71.18896406,59.09128732,32019.32634,44347.33667,14.14389687,0.722012386,365.9571575
224,"2-Methyl-2,4-hexadiene",CC(C)=CC=CC,102.7168007,89.27127049,86.47229387,32174.49521,43701.09566,12.5943598,0.736240012,376.7626383
225,"3-Methyl-2,4-hexadiene",CC=C(C)C=CC,102.9985168,86.11022823,85.39245077,32329.04959,43727.59622,11.34704096,0.739328305,377.624633
226,"2,3-Dimethyl-1,3-pentadiene",C=C(C)C(C)=CC,108.5194998,91.75184636,108.9039805,33445.48418,43897.35458,14.60283908,0.761902044,380.3013873
227,"1,3-Heptadiene",C=CC=CCCC,106.9109559,82.33688828,76.36173788,32153.86196,43151.73023,10.25859487,0.745134941,383.3570592
228,1-Methyl-1-[(E)-1-propenyl]cyclopropane,C/C=C/C1(C)CC1,104.8286038,80.79726832,57.3224152,33214.46857,43424.23988,12.25491929,0.764883131,366.3891531
229,"(E)-1,3-Hexadiene, 4-methyl-",C=C/C=C(C)/CC,107.5570788,103.680281,92.46337943,32748.67535,43615.02504,12.48477734,0.750857653,378.0431426
230,"Cyclopropane, (1-methylpropenyl)-",CC=C(C1CC1)C,101.5117411,73.66212399,69.2562922,34235.84181,43829.47485,17.09231573,0.781114579,369.0068308
231,"2,4-Heptadiene, (E,Z)",C/C=C/C=C\CC,99.14920293,93.58917917,77.25777445,31728.99527,43647.31304,10.59944935,0.726940402,373.104274
232,1-Methyl-cis-2-(1-cis-propenyl)-cyclopropane,CC=C[C@@H]1[C@H](C)C1,89.33728629,73.30949195,60.08550529,33017.33365,43053.24242,19.65170851,0.766895402,361.4300633
233,1-Methyl-cis-2-(1-trans-propenyl)-cyclopropane,C/C=C\[C@H]1[C@H](C)C1,89.33728629,73.30949195,60.08550529,33017.33365,43053.24242,19.65170851,0.766895402,361.4300633
234,1-Methyl-trans-2-(1-cis-propenyl)-cyclopropane,C/C=C/[C@@H]1[C@H](C)C1,89.33728629,73.30949195,60.08550529,33017.33365,43053.24242,19.65170851,0.766895402,361.4300633
235,1-Methyl-trans-2-(1-trans-propenyl)-cyclopropane,CC=C[C@H]1[C@H](C)C1,89.33728629,73.30949195,60.08550529,33017.33365,43053.24242,19.65170851,0.766895402,361.4300633
236,"1,3-Heptadiene, cis",C=C/C=C\CCC,106.9109559,82.33688828,76.36173788,32153.86196,43151.73023,10.25859487,0.745134941,383.3570592
237,"1,4-Heptadiene, cis",C=CC/C=C\CC,95.60466374,71.18896406,59.09128732,32019.32634,44347.33667,14.14389687,0.722012386,365.9571575
238,"2,4-Heptadiene, (Z,Z)",C/C=C\C=C/CC,99.14920293,93.58917917,77.25777445,31728.99527,43647.31304,10.59944935,0.726940402,373.104274
239,"cis-2,cis-5-Heptadiene",C/C=C\C/C=C\C,90.43082347,88.54925458,83.57772295,31478.11964,43771.09619,9.957521766,0.719153103,370.9615943
240,"2,4-Heptadiene, (Z,E)",C/C=C\C=C\CC,99.14920293,93.58917917,77.25777445,31728.99527,43647.31304,10.59944935,0.726940402,373.104274
241,"2,5-Heptadiene, (E,Z)",C/C=C/C/C=C\C,90.43082347,88.54925458,83.57772295,31478.11964,43771.09619,9.957521766,0.719153103,370.9615943
242,"3,4-Dimethylpenta-1,3-diene",C=CC(C)=C(C)C,111.7376053,83.37644455,102.52411,33031.33097,43746.49566,19.39152571,0.75506233,383.280097
243,1-Heptanol,CCCCCCCO,50.29772372,62.26116571,59.42754681,29345.97736,36431.58347,1.605692703,0.805509247,440.801913
244,2-Heptanol,CC(O)CCCCC,76.14473086,68.93473616,41.15368185,29815.8466,37093.40994,1.188833433,0.803804413,433.4899514
245,4-Heptanol,CCCC(O)CCC,93.42756204,0.689293403,53.45084431,29586.36253,36567.42125,1.303404107,0.809090757,432.7226569
246,3-Heptanol,CCC(O)CCCC,73.87723904,31.30044806,47.11963788,30296.80457,37395.506,1.138971906,0.810172339,431.9577429
247,"2,3,3-Trimethyl-2-butanol",CC(O)(C)C(C)(C)C,142.111958,133.8691949,64.9317473,29636.84159,35887.34515,3.400485225,0.82582987,410.7436415
248,"2,3-Dimethyl-3-pentanol",CC(C)C(O)(C)CC,100.6711056,97.03732846,73.82762313,30193.82899,36341.51358,1.887627176,0.830835758,424.7314399
249,3-Ethyl-3-pentanol,CCC(O)(CC)CC,110.4810724,83.20188768,22.46379791,30848.01817,37488.08344,1.747974725,0.822875307,424.0871244
250,3-Methyl-3-hexanol,CCC(O)(C)CCC,98.69018473,97.91559856,42.38223888,30904.12118,37297.94841,1.453714504,0.828574291,419.4333143
251,"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,113.8668722,127.9370083,34.63000265,30010.73814,36382.22068,2.889950676,0.824873732,433.0020112
252,4-Methylhexan-3-ol,CCC(O)C(C)CC,116.000718,96.98581667,46.41574047,30141.35891,37312.70182,1.575008643,0.807804245,427.9335948
253,2-Methyl-3-hexanol,CC(C)C(O)CCC,101.3266728,88.49121516,45.48434392,30454.13909,37561.69254,1.574027241,0.810776539,429.2917535
254,5-Methyl-3-hexanol,CCC(O)CC(C)C,109.2448959,92.0459239,52.38434914,30357.55576,37518.75855,1.515054353,0.809130071,427.3029609
255,"2,4-Dimethyl-2-pentanol",CC(O)(C)CC(C)C,78.25460179,124.3604054,60.63586284,30282.42243,36811.50791,2.487717815,0.822634664,417.141601
256,2-Methyl-2-hexanol,CC(O)(C)CCCC,93.58353613,83.98221168,66.64285957,30306.61746,37596.72354,1.56873872,0.806097303,418.7799654
257,5-Methyl-2-hexanol,CC(O)CCC(C)C,110.0411837,86.2075003,60.62681473,29814.04859,37354.15984,1.17934986,0.79814534,427.807822
258,5-Methyl-1-hexanol,CC(C)CCCCO,100.4454187,78.6493912,73.51937132,30229.88452,37499.21944,1.252826354,0.806147034,436.6762841
259,2-Ethoxy-2-methylbutane,CC(C)(OCC)CC,95.70005109,98.70565215,52.46487594,28416.70019,37739.10623,2.547220666,0.752977562,374.7826081
260,3-Methyl-2-hexanol,CC(O)C(C)CCC,110.831904,95.87135056,47.90175021,30219.88536,37434.80735,1.412400201,0.80726702,425.6953948
261,"2,2-Dimethyl-1-pentanol",CCCC(C)(C)CO,137.333872,75.01704318,69.855875,30197.58185,37203.83194,1.420837301,0.811679342,434.0220788
262,"4,4-Dimethyl-1-pentanol",CC(C)(C)CCCO,130.2903865,93.9692106,122.9202948,30339.29323,37543.92011,1.688525982,0.808101369,434.2037086
263,"2,2-Dimethyl-3-pentanol",CC(C)(C)C(O)CC,104.0899374,90.60514762,46.31745724,30081.035,36379.06491,1.781341918,0.826877631,421.5393477
264,"2,3-Dimethyl-2-pentanol",CC(O)(C)C(C)CC,89.76020415,116.6465982,59.19619628,30086.72336,36449.57787,2.122186009,0.825434069,420.9177027
265,"2,4-Dimethyl-1-pentanol",CC(C)CC(C)CO,118.9026317,85.3068897,75.64764607,30504.16814,37695.78775,0.757806358,0.809219543,434.082584
266,"2,3-Dimethyl-1-pentanol",CCC(C)C(C)CO,120.8945064,81.41715526,60.00950334,30787.36091,38026.46824,0.738987289,0.809629775,430.1365715
267,3-Methyl-1-hexanol,CCCC(C)CCO,101.2535797,81.01945415,61.21498798,30234.48561,37359.26004,1.820034556,0.809290269,435.4562585
268,Tert-Butyl isopropyl ether,CC(OC(C)(C)C)C,100.3714889,104.589335,54.86195649,26605.35946,35360.71484,7.976403295,0.752398801,356.4151561
269,Sec-butyl isopropyl ether,CC(OC(C)CC)C,52.39303176,71.41843039,63.18748225,25543.82297,33454.03427,6.008304664,0.763549854,357.8819181
270,3-Ethoxypentane,CCC(OCC)CC,52.21244128,58.60839444,50.11812318,28941.61648,38069.41576,4.208418901,0.760232746,383.1063241
271,2-Methylhexan-1-ol,CCCCC(C)CO,97.00311618,79.72153773,55.11503605,30268.76482,37354.78615,1.454418051,0.810304862,431.6589363
272,1-Methoxyhexane,CCCCCCOC,21.68388009,60.14053864,39.26210364,27949.29439,36162.19068,2.112035517,0.772887203,402.5527702
273,"2-Pentanol, 3-ethyl-",CC(O)C(CC)CC,114.4819432,97.198323,47.58572728,30234.44979,37383.62099,1.606849644,0.808761939,427.774906
274,1-Ethoxypentane,CCCCCOCC,13.94542509,63.70450619,33.99327639,27772.09336,36730.8036,2.334635491,0.756098169,397.5777769
275,2-Ethyl-2-methylbutan-1-ol,CCC(C)(CC)CO,139.6862925,91.72463105,70.76823094,29978.22809,37221.55892,1.34632981,0.805399585,431.4950919
276,4-Methyl-1-hexanol,CCC(C)CCCO,96.30123818,77.28277386,74.58438477,30415.58372,37678.00903,1.075696903,0.80725029,436.0891686
277,2-Ethoxypentane,CC(OCC)CCC,58.05902969,73.0286715,39.63315628,28377.3041,37516.33514,4.538989556,0.756398619,379.0358145
278,"4,4-Dimethyl-2-pentanol",CC(O)CC(C)(C)C,142.085725,104.7182267,60.90149304,29817.13679,37067.15631,1.413224607,0.804408532,418.517992
279,"3,4-Dimethyl-1-pentanol",CC(C)C(C)CCO,109.2223388,71.80233597,68.69032653,30887.65309,37979.11249,0.03,0.813280013,434.6218476
280,1-Ethoxy-3-methylbutane,CC(C)CCOCC,70.59590408,90.6938332,43.32194642,28540.51634,37725.42579,2.524255714,0.75653265,393.1166322
281,4-Methyl-2-hexanol,CC(O)CC(C)CC,110.5337151,95.98572538,48.69209883,30230.5566,37451.93279,1.454118245,0.807182817,425.4186436
282,2-Ethyl-1-pentanol,CCCC(CC)CO,100.1878271,80.24214504,60.0188901,30265.81361,37359.41117,1.513132284,0.810125552,435.6591798
283,"Butane, 1-(1-methylethoxy)-",CCCCOC(C)C,56.61076174,55.03069156,52.67222502,28249.0884,37392.59883,3.987303865,0.755472721,376.6718257
284,"Butane, 1-propoxy-",CCCCOCCC,34.44977889,59.94176038,40.82070724,28042.0935,37197.6061,2.551040672,0.753868231,395.8868921
285,"Propane, 2-methyl-1-propoxy-",CC(C)COCCC,87.48793987,89.20471737,45.10514973,28378.4009,37256.96362,4.390736123,0.761693873,393.7774217
286,"2,3,3-Trimethylbutanol",CC(C)(C)C(C)CO,165.9794324,87.88520599,67.60432732,30552.66308,37522.17794,1.643060438,0.814256122,426.4258518
287,"3,3-Dimethyl-2-pentanol",CC(O)C(C)(C)CC,129.6659636,102.3315673,46.87697756,29946.52405,37137.30939,1.126916718,0.806373013,419.6042011
288,"3,4-Dimethylpentan-2-ol",CC(O)C(C)C(C)C,125.654959,98.17780702,51.80728756,29954.51645,37077.50271,2.345099196,0.807889266,417.756996
289,2-Ethyl-3-methylbutan-1-ol,CC(C)C(CC)CO,122.7375998,87.18527945,65.10971008,30787.47164,37888.87076,0.628423529,0.812572954,438.9492126
290,"Propane, 2-methyl-2-propoxy-",CC(OCCC)(C)C,101.7153944,108.8517003,62.56940708,27776.37007,36999.50292,2.88986639,0.75072279,373.3204342
291,2-Propoxybutane,CC(OCCC)CC,55.08438482,53.67876101,56.32349873,28736.97536,37780.80598,3.576360302,0.760623672,380.959766
292,"Pentane, 2-methoxy-2-methyl-",CC(C)(OC)CCC,99.38988471,94.90408077,41.63906647,28417.60009,37083.23246,2.4395678,0.766319391,380.3058293
293,3-Methoxyhexane,CCC(OC)CCC,64.81715195,63.14219751,52.30712107,28582.25826,37034.79201,3.877991896,0.771767754,386.234018
294,3-Ethylpentan-1-ol,CCC(CC)CCO,104.9507007,78.09604595,68.77445938,30237.14632,37474.99718,1.183720196,0.80686187,436.8924554
295,(S)-(+)-2-Heptanol,C[C@H](O)CCCCC,76.14473086,68.93473616,41.15368185,29815.8466,37093.40994,1.188833433,0.803804413,433.4899514
296,"3,3-Dimethylpentan-1-ol",CCC(C)(C)CCO,137.2777168,86.87987918,98.9810913,30405.55293,37477.40366,1.67332918,0.811303611,436.9949864
297,1-Methoxy-2-ethylbutane,CCC(CC)COC,89.36150268,70.84193828,36.49469655,28650.70186,37027.15107,2.109294466,0.773775487,403.5092799
298,"1-Methoxy-2,3-dimethylbutane",CC(C)C(C)COC,124.8918033,85.53512076,48.53437775,28532.89509,36967.21412,4.220796184,0.771843261,397.6787488
299,2-Methoxyhexane,CC(OC)CCCC,65.63901284,69.20911853,51.5229352,28408.8194,36801.29702,3.350665447,0.771951581,384.1281599
300,"2,2-Dimethylpropylethyl ether",CC(OC(CC(C)(C)C)C)CC(C)(C)C,66.34337406,135.6039333,183.8714509,30884.99831,37724.37178,0.395089319,0.818701462,492.0589094
301,1-Methoxy-4-methylpentane,CC(C)CCCOC,76.79008421,93.64784655,48.79752237,28778.82572,37345.52629,2.199656181,0.770609724,395.9424313
302,"2-Methoxy-2,3-dimethylbutane",CC(C)(OC)C(C)C,120.0344561,92.52279649,47.66644993,28479.06849,37111.9958,3.393291359,0.767381756,372.3237754
303,"3-Methoxy-2,2-dimethylbutane",CC(C)(C)C(OC)C,137.7007784,97.67208154,52.42197437,28356.11119,36861.98988,4.510771619,0.769250691,378.1179902
304,"1-Methoxy-3,3-dimethylbutane",CC(C)(C)CCOC,143.7312564,109.0690413,68.82075884,28588.3168,36984.50368,4.375863309,0.77298095,398.4325941
305,Isobutylisopropyl ether,CC(OC(C)(CC(C)C)C)(CC(C)C)C,129.7208732,106.5527539,135.0756986,26895.15247,32934.0665,0.571070375,0.816636247,487.2547319
306,Ethyl 3-methylbutyl ether,CC(C)CCOCC,70.59590408,90.6938332,43.32194642,28540.51634,37725.42579,2.524255714,0.75653265,393.1166322
307,3-Methoxy-3-methylpentane,CCC(C)(OC)CC,107.4051403,82.0484107,34.89830572,28293.4849,37121.56586,2.948788976,0.762184575,380.7398944
308,1-Methoxy-3-methylpentane,CCC(C)CCOC,81.32831475,84.47168245,41.43536591,28796.06541,37173.93989,2.11152478,0.77463044,400.0769789
309,2-Methoxy-4-methylpentane,CC(OC)CC(C)C,76.51385236,67.92311409,62.47957955,29102.47801,37918.77932,3.251100869,0.767495118,382.013886
310,"1-Methoxy-2,2-dimethylbutane",CCC(C)(C)COC,130.255435,86.98396779,51.538406,28121.04648,36809.04899,3.786423793,0.763971014,386.9881281
311,3-Methoxy-2-methylpentane,CC(C)C(OC)CC,83.58272499,71.29979376,65.13996408,28634.60281,37176.91343,6.156834998,0.770225394,384.7123966
312,"2,2,3-Trimethylbutan-1-ol",CC(C)C(C)(C)CO,143.7966529,96.2380748,27.94457418,30199.60576,37085.83167,1.311277086,0.81431653,422.474512
313,1-Methoxy-2-methylpentane,CCCC(C)COC,85.82467297,89.24175365,41.15288738,28655.82005,37146.13951,2.273772142,0.771434675,399.5583172
