RON_Molecules,Experiment,SMILES
2-Methyl-3-heptene (trans),94.4,CCC/C=C/C(C)C
2-Methyl-3-ethyl-2-pentene,95.6,CCC(=C(C)C)CC
ETHENE,97.3,C=C
1-Hexene,76.4,CCCCC=C
2-Hexene (trans),92.7,CCC/C=C/C
3-Methyl-1-pentene,96,CC(C=C)CC
3-Methyl-2-pentene (trans),97.2,CC/C(=C/C)/C
4-Methyl-2-pentene,99.3,CC=CC(C)C
4-Methyl-2-pentene (trans),98,C/C=C/C(C)C
"2,3-Dimethyl-2-butene",97.4,CC(=C(C)C)C
1-Heptene,54.5,CCCCCC=C
3-Methyl-1-hexene,82.2,CC(C=C)CCC
"2,4-Dimethylhexane",65.2,CCC(CC(C)C)C
3-Methyl-3-ethylpentane,80.8,CCC(CC)(CC)C
"2,2,3-Trimethylpentane",109.6,CCC(C(C)(C)C)C
Dipentene,90.6,CC1=CC[C@H]2C[C@@H]1C2(C)C
TERT-BUTANOL,105,CC(O)(C)C
Butyl Levulinate,98,CCCCOC(=O)CCC(=O)C
Toluene,120.1,Cc1ccccc1
"1,3-Dimethylbenzene",117.5,Cc1cccc(c1)C
"1,2,3-Trimethylbenzene",105.3,Cc1c(C)cccc1C
"1,2,4-Trimethylbenzene",110.5,Cc1ccc(c(c1)C)C
iso-Butylbenzene,111.4,CC(Cc1ccccc1)C
"1,3-Diethylbenzene",115.5,CCc1cccc(c1)CC
1-Methyl-2-n-propylbenzene,103.5,CCCc1ccccc1C
1-Methyl-3-n-propylbenzene,112.1,CCCc1cccc(c1)C
1-Methyl-4-isopropylbenzene,110.5,Cc1ccc(cc1)C(C)C
2-Phenylpentane,103.5,CCCC(c1ccccc1)C
Ethenylbenzene,115.5,C=Cc1ccccc1
Propenylbenzene (cis),105.3,C/C=C\c1ccccc1
"1,3,5-Trimethylcyclohexane (trans)",68.5,CC1C[C@@H](C)C[C@@H](C1)C
Ethylidenecyclohexane,83,CC=C1CCCCC1
Ethylcyclopropane,102.5,CCC1CC1
"1,2-Dimethylcyclopropane (trans)",104.4,[C@@H]1(C)C[C@H]1C
"1,1,2-Trimethylcyclopropane",111,CC1CC1(C)C
Ethylcyclobutane,41.1,CCC1CCC1
Methylcyclopentane,91.3,CC1CCCC1
Ethylcyclopentane,67.2,CCC1CCCC1
Ethylidenecyclopentane,82.4,CC=C1CCCC1
"1,3-Dimethylcyclohexane (cis)",71.7,[C@@H]1(C)CCC[C@@H](C1)C
3-Ethylcyclopentene,90.8,CCC1CCC=C1
"1,2-Dimethylcyclohexene",89.7,CC1=C(C)CCCC1
"1,3-Cyclohexadiene",74.8,C1CC=CC=C1
