RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
5-Methyl-2-hexene (trans),-0.615,0.596,0.49,0.115,0.228,0.177,0.354,-0.304,-0.504,0.484,-0.188,-0.277,Training,95.35,1.05,C/C=C/CC(C)C,5-Methyl-2-hexene (trans),94.3
"2,3-Dimethyl-1-pentene",-0.396,0.819,-0.191,0.156,0.888,0.799,-0.544,-0.711,-0.787,0.484,-0.129,0.71,Training,96.66,2.64,CCC(C(=C)C)C,"2,3-Dimethyl-1-pentene",99.3
ETHANE,-1.882,-2.333,-2.751,-1.587,1.191,0.972,-1.477,1.044,-0.072,-0.275,-1.747,2.611,Training,101.69,10.01,CC,ETHANE,111.7
PROPANE,-1.751,-1.664,-1.927,-1.326,0.737,0.681,-1.019,0.809,0.05,-0.275,-1.433,1.475,Training,97.67,13.73,CCC,PROPANE,111.4
n-Butane,-1.576,-1.539,-1.152,-1.074,0.17,0.484,-0.526,0.616,-0.058,-0.275,-1.025,0.911,Training,88.54,5.46,CCCC,n-Butane,94
n-Hexane,-1.227,-1.52,0.45,-0.561,-1.056,0.083,0.407,0.338,0.585,-0.275,0.077,-0.203,Training,46.8,22,CCCCCC,n-Hexane,24.8
"2,3-Dimethylpentane",-0.79,-1.17,-0.122,-0.512,-0.619,-0.011,0.777,0.691,-0.553,1.243,0.144,-0.396,Training,86.77,4.33,CCC(C(C)C)C,"2,3-Dimethylpentane",91.1
4-Methylheptane,-0.746,-1.13,1.256,-0.113,-1.735,-0.09,1.27,0.22,0.756,0.484,1.192,-0.923,Training,31.85,5.15,CCCC(CCC)C,4-Methylheptane,26.7
"2,3,4-Trimethylpentane",-0.484,-1.457,-0.348,-0.317,-0.617,-0.412,0.742,0.723,-0.414,2.003,0.52,-0.619,Training,96.28,6.22,CC(C(C)C)C(C)C,"2,3,4-Trimethylpentane",102.5
"2,2-Dimethylheptane",-0.44,-1.123,1.951,-0.154,-1.448,-0.868,0.83,1.034,-0.04,1.243,1.56,-1.102,Training,57.28,6.98,CCCCCC(C)(C)C,"2,2-Dimethylheptane",50.3
"3,3,5-Trimethylheptane",-0.047,-0.895,1.387,0.563,-1.364,-1.843,1.921,0.359,-0.4,2.003,2.035,-1.361,Training,79.01,7.39,CCC(CC(CC)(C)C)C,"3,3,5-Trimethylheptane",86.4
N-PROPANOL,-1.227,0.336,-1.102,0.432,0.609,0.602,-1.917,0.916,0.045,-0.275,-2.062,2.93,Training,100.25,3.75,CCCO,N-PROPANOL,104
Heptane,-1.052,-1.539,1.257,-0.3,-1.65,-0.129,0.83,0.177,0.828,-0.275,0.769,-0.678,Training,20.29,20.29,CCCCCCC,Heptane,0
Ethylbenzene,1.133,1.012,0.228,-0.398,0.802,0.995,-1.442,1.109,-0.881,-1.034,-0.373,0.183,Training,111.08,3.68,CCc1ccccc1,Ethylbenzene,107.4
"1,4-Dimethylbenzene",1.308,0.923,-0.328,-0.471,1.323,1.679,-1.001,1.237,-0.868,-0.275,-0.335,0.309,Training,111.56,4.84,Cc1ccc(cc1)C,"1,4-Dimethylbenzene",116.4
"1,3-Dimethyl-5-ethylbenzene",2.007,1.216,0.845,-0.121,-0.318,0.633,-1.054,0.798,-0.103,0.484,1.069,-0.552,Training,112.04,2.76,CCc1cc(C)cc(c1)C,"1,3-Dimethyl-5-ethylbenzene",114.8
tert-Amylbenzene,2.182,1.186,0.755,0.017,0.32,0.964,-0.649,1.301,-0.661,0.484,0.97,-1.064,Training,110.84,2.84,CCC(c1ccccc1)(C)C,tert-Amylbenzene,108
Allylbenzene,1.57,1.09,0.767,0.726,1.045,1.011,-1.406,1.087,-1.273,-1.793,-0.29,-0.24,Training,100.52,1.98,C=CCc1ccccc1,Allylbenzene,102.5
Indan (hydrindene),2.051,1.35,-0.303,-0.634,0.165,0.712,-0.315,-0.015,2.047,-1.793,-0.226,-0.01,Training,96.89,6.61,C1Cc2c(C1)cccc2,Indan (hydrindene),103.5
1-Methyl-2-n-propylcyclohexane (trans),0.172,-1.008,1.396,0.367,-2.341,-0.758,1.64,0.552,0.878,-0.275,1.802,-1.51,Training,27.73,1.67,CCC[C@@H]1CCCC[C@H]1C,1-Methyl-2-n-propylcyclohexane (trans),29.4
1-Methyl-4-isopropylcyclohexane (cis),0.259,-0.851,0.366,0.253,-1.867,-0.916,0.883,0.927,0.108,0.484,1.425,-1.406,Training,70.03,6.63,CC([C@@H]1CC[C@@H](CC1)C)C,1-Methyl-4-isopropylcyclohexane (cis),63.4
"1,2,4-Trimethyl-4-isopropylcyclo-hexane",1.089,-0.651,0.671,0.432,-2.019,-1.136,0.777,1.976,-0.211,2.003,2.296,-1.762,Training,98.14,2.14,CC1CCC(CC1C)(C)C(C)C,"1,2,4-Trimethyl-4-isopropylcyclo-hexane",96
Dicyclopropylmethane,-0.003,-1.262,-0.265,-1.66,-0.698,-0.334,0.407,-0.85,2.474,-1.793,-0.797,-0.27,Training,79.37,15.73,C1CC1CC1CC1,Dicyclopropylmethane,95.1
cis-hydrindane ,0.39,-1.377,-0.588,0.099,-1.099,-1.828,2.52,-1.974,2.623,-1.793,0.394,-0.99,Training,63.77,6.23,[C@@H]12CCCC[C@H]2CCC1,cis-hydrindane ,70
trans-hydrindane ,0.39,-1.377,-0.358,-0.3,-1.879,-1.961,0.689,-2.637,2.704,-1.793,0.394,-0.99,Training,52.88,5.62,[C@@H]12CCCC[C@@H]2CCC1,trans-hydrindane ,58.5
"1,1,3-Trimethylcyclohexane",0.128,-0.707,-0.131,-0.154,-1.327,-0.829,0.865,1.205,0.158,0.484,0.581,-1.072,Training,79.85,1.45,CC1CCCC(C1)(C)C,"1,1,3-Trimethylcyclohexane",81.3
Cyclopentene,-0.659,0.568,-1.729,-1.098,0.686,-0.231,0.249,-0.251,1.588,-1.793,-1.355,0.74,Training,96.38,3.08,C1CC=CC1,Cyclopentene,93.3
1-Methylcyclohexene,-0.091,0.542,-0.821,0.213,0.318,-0.247,0.988,-0.24,0.621,-1.034,-0.415,1.148,Training,85.33,3.77,CC1=CCCCC1,1-Methylcyclohexene,89.1
"3,5,5-Trimethylcyclohexene",0.565,0.841,-0.154,0.75,-0.406,-1.081,1.516,0.231,-0.162,0.484,-0.071,-0.819,Training,103.8,8.3,CC1C=CCC(C1)(C)C,"3,5,5-Trimethylcyclohexene",95.5
"2,4-Dimethyl-2-pentene",-0.396,0.251,-0.461,-0.252,0.716,0.13,-0.121,-1.021,-0.679,1.243,-0.201,0.992,Training,102.62,2.62,CC(C=C(C)C)C,"2,4-Dimethyl-2-pentene",100
