RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
"1,2,3-Trimethylbenzene",1.832,0.761,-0.463,-0.333,0.637,1.333,-1.037,1.055,-0.728,0.484,0.338,-0.032,Training,109.31,4.01,Cc1c(C)cccc1C,"1,2,3-Trimethylbenzene",105.3
"1,2,4-Trimethylbenzene",1.788,0.761,-0.001,-0.333,0.926,1.373,-0.949,0.959,-0.764,0.484,0.338,-0.018,Training,109.1,1.4,Cc1ccc(c(c1)C)C,"1,2,4-Trimethylbenzene",110.5
iso-Butylbenzene,1.57,1.27,0.752,-0.015,0.06,0.696,-0.086,0.809,-0.935,-0.275,0.634,-0.782,Training,104.67,6.73,CC(Cc1ccccc1)C,iso-Butylbenzene,111.4
"1,3-Diethylbenzene",1.832,1.127,0.867,-0.056,-0.021,0.044,-1.23,0.317,-0.737,-0.275,1.018,-0.53,Training,108.51,6.99,CCc1cccc(c1)CC,"1,3-Diethylbenzene",115.5
1-Methyl-2-n-propylbenzene,1.788,1.519,1.053,-0.007,0.193,0.877,0.037,0.68,-1.079,-0.275,1.018,-0.567,Training,105.12,1.62,CCCc1ccccc1C,1-Methyl-2-n-propylbenzene,103.5
1-Methyl-3-n-propylbenzene,1.745,1.519,1.425,-0.007,-0.154,0.791,-0.315,0.606,-0.571,-0.275,1.018,-0.56,Training,107.64,4.46,CCCc1cccc(c1)C,1-Methyl-3-n-propylbenzene,112.1
1-Methyl-4-isopropylbenzene,1.92,1.322,0.608,-0.186,1.006,1.648,-0.773,0.52,-0.031,0.484,0.682,-0.567,Training,110.04,0.46,Cc1ccc(cc1)C(C)C,1-Methyl-4-isopropylbenzene,110.5
2-Phenylpentane,1.876,1.252,1.958,0.221,-0.55,1.365,-0.28,0.959,0.153,-0.275,1.404,-1.265,Training,101.91,1.59,CCCC(c1ccccc1)C,2-Phenylpentane,103.5
Ethenylbenzene,1.483,-0.071,0.322,0.001,1.149,1.491,-2.181,1.622,-0.71,-1.793,-0.832,0.101,Training,107.24,8.26,C=Cc1ccccc1,Ethenylbenzene,115.5
Propenylbenzene (cis),1.745,1.287,0.098,0.286,0.894,1.396,-1.477,1.291,-0.036,-1.034,-0.359,-0.196,Training,107.35,2.05,C/C=C\c1ccccc1,Propenylbenzene (cis),105.3
"1,3,5-Trimethylcyclohexane (trans)",0.041,-0.839,-0.25,-0.024,-1.78,-0.703,0.883,0.862,0.711,0.484,0.653,-0.99,Training,71.31,2.81,CC1C[C@@H](C)C[C@@H](C1)C,"1,3,5-Trimethylcyclohexane (trans)",68.5
Ethylidenecyclohexane,0.128,0.38,0.214,0.147,-0.033,-0.782,0.636,-1.075,0.698,-1.034,0.201,0.339,Training,80.1,2.9,CC=C1CCCCC1,Ethylidenecyclohexane,83
Ethylcyclopropane,-0.877,-1.008,-0.751,-1.497,0.434,0.288,-0.156,-0.069,1.107,-1.034,-1.141,0.495,Training,92.85,9.65,CCC1CC1,Ethylcyclopropane,102.5
"1,2-Dimethylcyclopropane (trans)",-0.746,-0.888,-1.07,-1.563,0.765,0.775,-0.191,-0.722,0.581,-0.275,-1.325,0.688,Training,104.35,0.05,[C@@H]1(C)C[C@H]1C,"1,2-Dimethylcyclopropane (trans)",104.4
"1,1,2-Trimethylcyclopropane",-0.309,-0.677,-0.891,-1.375,1.285,1.074,0.513,-1.824,0.315,0.484,-1.139,0.183,Training,107.09,3.91,CC1CC1(C)C,"1,1,2-Trimethylcyclopropane",111
Ethylcyclobutane,-0.702,-1.1,-0.345,2.558,-0.424,0.272,0.724,-1.043,1.161,-1.034,-0.663,-0.092,Training,40.91,0.19,CCC1CCC1,Ethylcyclobutane,41.1
Methylcyclopentane,-0.746,-1.1,-1.024,-1.196,-0.093,-1.293,-0.456,-1.118,1.935,-1.034,-0.663,-0.07,Training,87.2,4.1,CC1CCCC1,Methylcyclopentane,91.3
Ethylcyclopentane,-0.527,-1.182,0.026,-0.944,-0.836,-1.505,-0.209,-1.471,1.894,-1.034,-0.09,-0.552,Training,63.16,4.04,CCC1CCCC1,Ethylcyclopentane,67.2
Ethylidenecyclopentane,-0.047,0.542,0.017,-0.651,-0.022,-1.246,0.09,-1.653,1.966,-1.034,-0.415,0.725,Training,78.52,3.88,CC=C1CCCC1,Ethylidenecyclopentane,82.4
"1,3-Dimethylcyclohexane (cis)",-0.265,-0.907,-0.294,-0.178,-1.575,-0.664,0.883,0.755,0.198,-0.275,0.267,-0.775,Training,68.02,3.68,[C@@H]1(C)CCC[C@@H](C1)C,"1,3-Dimethylcyclohexane (cis)",71.7
3-Ethylcyclopentene,-0.091,0.892,-0.079,-0.683,-0.287,-0.381,1.111,-0.615,1.917,-1.034,-0.649,-0.062,Training,78.13,12.67,CCC1CCC=C1,3-Ethylcyclopentene,90.8
"1,2-Dimethylcyclohexene",0.346,-0.308,-0.794,0.139,0.031,-0.161,1.798,-0.786,0.302,-0.275,0.186,1.133,Training,95.55,5.85,CC1=C(C)CCCC1,"1,2-Dimethylcyclohexene",89.7
"1,3-Cyclohexadiene",-0.047,1.014,-1.504,0.017,1.165,-0.066,-0.649,0.081,0.275,-1.793,-1.345,0.74,Training,87.93,13.13,C1CC=CC=C1,"1,3-Cyclohexadiene",74.8
beta-Pinene,1.657,1.447,-0.287,6.336,0.324,-0.247,2.52,-0.85,0.212,-0.275,-0.173,-0.144,Training,82.05,1.45,C=C1CCC2CC1C2(C)C,beta-Pinene,80.6
"2,3-Dimethyl-2-pentene",-0.265,-0.639,-0.372,-0.276,1.393,-0.145,0.231,-1.685,-1.034,1.243,0.065,1.512,Training,94.2,3.3,CCC(=C(C)C)C,"2,3-Dimethyl-2-pentene",97.5
"4,4-Dimethyl-2-pentene (trans)",-0.353,0.289,0.051,-0.121,0.357,0.288,-1.019,-0.047,-1.223,1.243,-0.505,-0.077,Training,108.75,3.45,C/C=C/C(C)(C)C,"4,4-Dimethyl-2-pentene (trans)",105.3
2-Methyl-1-heptene,-0.44,0.655,1.557,0.506,-0.498,-0.287,0.795,-0.861,-0.463,-0.275,0.86,-0.003,Training,67.83,2.37,CCCCCC(=C)C,2-Methyl-1-heptene,70.2
6-Methyl-3-heptene (trans),-0.396,0.263,1.083,0.318,-0.238,0.028,0.284,-0.839,-0.135,0.484,0.465,-0.701,Training,81.43,11.97,CC/C=C/CC(C)C,6-Methyl-3-heptene (trans),93.4
"2,2-Dimethyl-3-hexene (cis)",-0.134,0.141,-0.05,0.791,0.441,-0.876,0.284,-0.936,-0.108,1.243,0.096,-0.508,Training,101.56,5.24,CC/C=C\C(C)(C)C,"2,2-Dimethyl-3-hexene (cis)",106.8
"3-Methyl-1,2-butadiene",-0.527,0.93,-1.017,-0.439,2.313,1.176,-0.174,-0.144,-0.827,-0.275,-1.127,2.41,Training,97.16,36.16,C=C=C(C)C,"3-Methyl-1,2-butadiene",61
2-Ethyl-1-butene,-0.702,0.439,-0.551,-0.056,1.341,-0.035,-0.684,-1.128,-0.58,-0.275,-0.453,1.111,Training,93.61,4.69,CCC(=C)CC,2-Ethyl-1-butene,98.3
"3,3-Dimethyl-1-butene",-0.615,0.594,-0.765,-0.056,1.256,0.366,-1.283,0.402,-0.94,0.484,-0.956,0.049,Training,102.36,9.34,C=CC(C)(C)C,"3,3-Dimethyl-1-butene",111.7
3-Heptene (cis),-0.659,0.373,0.669,0.188,0.116,-0.404,0.002,-0.839,0.027,-0.275,0.093,-0.404,Training,77.93,12.27,CCC/C=C\CC,3-Heptene (cis),90.2
2-Methyl-2-hexene,-0.527,0.474,0.545,-0.072,0.483,0.256,0.002,-0.711,-0.279,0.484,0.079,0.799,Training,91.11,1.69,CCCC=C(C)C,2-Methyl-2-hexene,92.8
3-Methyl-2-hexene (cis),-0.484,0.474,0.046,-0.015,0.445,-0.106,0.02,-1.118,-0.522,0.484,0.079,0.821,Training,95.61,3.41,CCC/C(=C\C)/C,3-Methyl-2-hexene (cis),92.2
2-Methylhexane,-0.964,-1.121,0.819,-0.398,-1.199,-0.098,0.935,0.274,0.338,0.484,0.447,-0.597,Training,47.36,4.96,CCCCC(C)C,2-Methylhexane,42.4
"3,3-Dimethylpentane",-0.702,-1.17,-0.278,-0.642,0.012,-0.46,0.213,1.162,-1.093,1.243,0.079,-0.337,Training,98.59,17.79,CCC(CC)(C)C,"3,3-Dimethylpentane",80.8
iso-Propylbenzene,1.483,1.061,-0.061,-0.325,0.532,1.758,-0.966,1.248,-0.049,-0.275,-0.041,-0.277,Training,115.02,1.92,CC(c1ccccc1)C,iso-Propylbenzene,113.1
1-Methyl-3-ethylbenzene,1.57,1.381,0.587,-0.26,0.35,0.838,-1.195,0.862,-0.602,-0.275,0.294,-0.136,Training,111.06,1.04,CCc1cccc(c1)C,1-Methyl-3-ethylbenzene,112.1
"1,4-Diethylbenzene",1.832,1.127,1.234,-0.056,0.888,0.052,-1.248,-0.197,-1.066,-0.275,1.018,-0.53,Training,108.29,2.29,CCc1ccc(cc1)CC,"1,4-Diethylbenzene",106
Ethylcycloheptane,-0.178,-1.309,0.592,1.784,-1.567,-1.034,1.059,-0.882,0.36,-1.034,1.341,-1.28,Training,32.15,3.15,CCC1CCCCCC1,Ethylcycloheptane,29
Pinane,1.22,-0.44,-0.411,7.688,-0.231,0.012,3.136,-0.754,0.675,0.484,0.097,-1.035,Training,74.56,3.14,CC1CCC2CC1C2(C)C,Pinane,77.7
Methylcyclopropane,-1.096,-0.907,-1.646,-1.75,0.875,0.571,-0.596,0.135,1.008,-1.034,-1.525,1.111,Training,106.05,3.55,CC1CC1,Methylcyclopropane,102.5
"1,1,2,2-Tetramethylcyclopropane",0.172,-1.001,-1.096,-1.188,1.627,1.491,1.076,-2.862,-0.247,1.243,-0.935,-0.04,Training,109.73,4.43,CC1(C)CC1(C)C,"1,1,2,2-Tetramethylcyclopropane",105.3
Isopropenylcyclopropane,-0.178,1.047,-0.965,-0.781,1.324,0.547,0.548,-0.347,0.243,-1.034,-1.088,1.282,Training,96.59,2.09,CC(=C)C1CC1,Isopropenylcyclopropane,94.5
Cyclopentane,-1.052,-2.082,-1.824,-1.375,0.175,-1.034,-1.001,-0.914,1.786,-1.793,-0.938,0.435,Training,95.44,5.86,C1CCCC1,Cyclopentane,101.3
Cyclohexane,-0.877,-2.082,-1.534,-0.431,-0.155,-0.467,0.213,0.349,0.567,-1.793,-0.418,-0.144,Training,75.15,7.85,C1CCCCC1,Cyclohexane,83
Ethylcyclohexane,-0.353,-1.25,0.387,-0.015,-1.454,-0.577,1.2,0.349,0.374,-1.034,0.578,-0.96,Training,42.79,2.81,CCC1CCCCC1,Ethylcyclohexane,45.6
"1,1-Dimethylcyclohexane",-0.178,-1.065,-0.824,-0.284,-0.384,-0.806,0.636,0.948,-0.045,-0.275,0.201,-0.767,Training,86.32,0.98,CC1(C)CCCCC1,"1,1-Dimethylcyclohexane",87.3
"1,2-Dimethylcyclohexane (trans)",-0.222,-0.907,-0.742,-0.162,-1.224,-0.648,0.918,0.702,-0.243,-0.275,0.267,-0.767,Training,77.8,3.1,[C@@H]1(C)CCCC[C@H]1C,"1,2-Dimethylcyclohexane (trans)",80.9
"1,4-Dimethylcyclohexane (trans)",-0.265,-0.907,-0.195,-0.178,-1.009,-0.68,0.9,0.68,0.135,-0.275,0.267,-0.753,Training,72.1,3.8,[C@@H]1(C)CC[C@H](CC1)C,"1,4-Dimethylcyclohexane (trans)",68.3
iso-Propylcyclohexane,-0.047,-0.956,0.053,0.099,-1.87,-0.861,0.953,0.98,0.257,-0.275,0.988,-1.168,Training,55.03,7.77,CC(C1CCCCC1)C,iso-Propylcyclohexane,62.8
1-Methyl-1-ethylcyclohexane,0.084,-1.123,0.309,-0.007,-0.964,-0.923,0.83,1.044,-0.009,-0.275,0.911,-1.057,Training,67.46,1.24,CCC1(C)CCCCC1,1-Methyl-1-ethylcyclohexane,68.7
1-Methylcyclopentene,-0.265,0.676,-1.056,-0.944,0.744,-0.224,0.478,-0.807,1.746,-1.034,-0.937,1.282,Training,94.34,0.74,CC1=CCCC1,1-Methylcyclopentene,93.6
4-Methylcyclohexene,-0.178,0.892,-0.764,0.62,0.078,-0.412,0.707,-0.079,0.126,-1.034,-0.649,-0.099,Training,86.62,2.52,CC1CCC=CC1,4-Methylcyclohexene,84.1
"1,3-Cyclopentadiene",-0.222,0.899,-1.737,-1.318,1.179,1.569,-0.632,0.969,1.048,-1.793,-1.681,1.289,Training,107.42,3.92,C1C=CC=C1,"1,3-Cyclopentadiene",103.5
"1,4-Cyclohexadiene",-0.091,0.343,-1.53,1.426,1.435,-0.019,-0.737,0.359,-0.274,-1.793,-1.345,0.74,Training,83.14,7.74,C1=CCC=CC1,"1,4-Cyclohexadiene",75.4
"1-Methyl-1,4-cyclohexadiene",0.303,1.057,-0.803,1.206,1.161,0.091,0.284,-0.154,-0.288,-1.034,-0.924,1.074,Training,88.85,13.85,CC1=CCC=CC1,"1-Methyl-1,4-cyclohexadiene",75
4-Methyl-1-pentyne,-0.527,0.676,-0.023,-0.789,0.865,-0.019,-1.389,0.937,-0.27,-0.275,0.049,0.472,Training,100.74,9.44,CC(CC#C)C,4-Methyl-1-pentyne,91.3
4-Octene (trans),-0.484,0.336,1.57,0.449,-0.796,0.154,0.231,-0.818,-0.809,-0.275,0.788,-0.842,Training,69.51,3.79,CCC/C=C/CCC,4-Octene (trans),73.3
"2,4,4-Trimethyl-1-pentene",-0.178,0.655,-0.574,0.123,0.66,-0.255,-0.209,-0.615,-1.669,1.243,0.159,0.22,Training,102.33,3.67,CC(=C)CC(C)(C)C,"2,4,4-Trimethyl-1-pentene",106
"2,5-Dimethyl-1,5-hexadiene",-0.003,0.982,0.154,1.059,1.607,0.177,0.073,-1.942,-1.691,-0.275,0.237,0.495,Training,96.23,6.03,CC(=C)CCC(=C)C,"2,5-Dimethyl-1,5-hexadiene",90.2
PROPENE,-1.533,0.725,-1.898,-0.406,1.462,1.097,-1.354,1.002,-0.58,-1.034,-1.708,1.512,Training,101.87,0.57,CC=C,PROPENE,101.3
4-Methyl-1-pentene,-0.877,0.953,-0.268,0.18,0.535,0.382,-0.015,0.177,-0.189,-0.275,-0.684,0.064,Training,91.66,4.04,C=CCC(C)C,4-Methyl-1-pentene,95.7
4-Methyl-2-pentene (cis),-0.746,0.439,-0.511,-0.113,1.078,0.311,-0.984,0.177,-0.369,0.484,-0.745,0.116,Training,102.28,2.58,C/C=C\C(C)C,4-Methyl-2-pentene (cis),99.7
2-Methylbutane,-1.314,-1.238,-0.931,-0.911,0.209,0.335,0.02,0.606,-0.355,0.484,-0.758,0.383,Training,97.19,4.89,CCC(C)C,2-Methylbutane,92.3
3-Methylpentane,-1.096,-1.14,-0.298,-0.626,-0.402,0.295,0.671,0.295,-0.238,0.484,-0.203,-0.099,Training,82.27,7.77,CCC(CC)C,3-Methylpentane,74.5
3-Methylheptane,-0.746,-1.13,1.478,-0.113,-1.622,-0.161,1.534,0.017,0.455,0.484,1.192,-0.923,Training,30.55,3.75,CCCCC(CC)C,3-Methylheptane,26.8
3-Ethylhexane,-0.702,-1.13,0.656,-0.089,-1.566,0.343,1.323,-0.112,0.419,0.484,1.192,-0.931,Training,44.71,11.21,CCCC(CC)CC,3-Ethylhexane,33.5
2-Methyl-3-ethylpentane,-0.571,-1.062,-0.128,-0.186,-0.889,0.185,1.076,-0.037,0.126,1.243,0.847,-0.775,Training,80.94,6.36,CCC(C(C)C)CC,2-Methyl-3-ethylpentane,87.3
"2,4-Dimethyl-3-ethylpentane",-0.265,-1.154,0.123,0.612,-1.039,-1.207,1.393,-0.54,-0.904,2.003,1.275,-0.99,Training,96.18,9.12,CCC(C(C)C)C(C)C,"2,4-Dimethyl-3-ethylpentane",105.3
2-Methyldecane,-0.265,-1.212,4.177,0.628,-3.295,-1.081,2.256,-0.39,0.985,0.484,3.995,-1.866,Training,12.32,12.32,CCCCCCCCC(C)C,2-Methyldecane,0
ISOPROPANOL,-1.008,-0.054,-1.912,-0.219,0.808,0.453,-1.987,0.852,-0.099,-0.275,-2.091,2.923,Training,107.02,1.02,CC(O)C,ISOPROPANOL,106
2-METHYL-2-BUTANOL,-0.265,-0.029,-0.8,-0.488,0.45,-0.499,-1.477,0.509,-0.701,0.484,-1.848,2.18,Training,103.55,6.55,CCC(O)(C)C,2-METHYL-2-BUTANOL,97
2-Methyltetrahydrofuran,0.128,-0.012,-1.067,0.042,0.174,-1.026,-0.949,-0.443,1.899,-1.034,-1.942,1.905,Training,88.89,2.89,CC1CCCO1,2-Methyltetrahydrofuran,86
Methyl Pentanoate,1.22,0.627,1.475,0.571,-0.309,0.256,-1.512,0.092,-0.256,-1.034,-1.539,1.445,Training,101.33,3.67,CCCCC(=O)OC,Methyl Pentanoate,105
"2,5-dimethylfuran",1.963,1.259,-0.6,-0.032,1.187,3.983,0.442,0.895,0.518,-0.275,-1.781,1.512,Training,118.9,0.1,Cc1ccc(o1)C,"2,5-Dimethylfuran",119
"2,5-dimethylfuran",1.963,1.259,-0.6,-0.032,1.187,3.983,0.442,0.895,0.518,-0.275,-1.781,1.512,Training,118.9,0.1,Cc1ccc(o1)C,"2,5-dimethylfuran",119
"1,1,3-Trimethylcyclopentane",-0.047,-0.663,-0.211,-0.96,-0.33,-2.315,0.319,-1.086,1.417,0.484,-0.087,-0.723,Validation,89.26,1.56,CC1CCC(C1)(C)C,"1,1,3-Trimethylcyclopentane",87.7
"1,3-Dimethylcyclohexane (trans)",-0.265,-0.907,-0.486,-0.154,-0.837,-0.672,0.671,0.616,0.504,-0.275,0.267,-0.775,Validation,75.82,8.92,[C@@H]1(C)CCC[C@H](C1)C,"1,3-Dimethylcyclohexane (trans)",66.9
3-Octene (trans),-0.484,0.336,1.741,0.449,-0.993,0.288,0.09,-0.968,-0.099,-0.275,0.788,-0.849,Validation,60.59,11.91,CCCC/C=C/CC,3-Octene (trans),72.5
iso-Butylcyclohexane,0.084,-1.008,0.927,0.359,-1.794,-1.041,1.781,0.616,1.255,-0.275,1.802,-1.54,Validation,36.44,2.74,CC(CC1CCCCC1)C,iso-Butylcyclohexane,33.7
N-BUTANOL,-1.052,0.159,-0.285,0.685,-0.003,0.264,-1.354,0.702,0.113,-0.275,-1.908,2.574,Validation,92.76,5.24,CCCCO,N-BUTANOL,98
"2,5-Dimethyl-2,4-hexadiene",0.215,0.15,0.286,0.025,1.087,-0.027,0.495,-1.995,-0.548,1.243,0.082,1.126,Validation,97.59,3.29,CC(=CC=C(C)C)C,"2,5-Dimethyl-2,4-hexadiene",94.3
n-Propylcyclopentane,-0.353,-1.25,0.904,-0.683,-1.299,-1.788,0.495,-1.514,2.497,-1.034,0.578,-0.931,Validation,32.19,0.99,CCCC1CCCC1,n-Propylcyclopentane,31.2
2-Butyne,-0.877,-1.018,-1.331,-0.561,1.717,0.877,-2.463,1.826,-1.205,-0.275,-1.323,1.193,Validation,110.51,24.61,CC#CC,2-Butyne,85.9
n-Butylcyclopentane,-0.178,-1.309,1.847,-0.431,-1.947,-2.072,0.953,-1.696,2.6,-1.034,1.341,-1.28,Validation,0.39,3.39,CCCCC1CCCC1,n-Butylcyclopentane,-3
"cis,cis,trans-1,2,3-trimethylcyclohexane",0.128,-0.839,-0.522,-0.007,-1.164,-0.758,0.953,0.841,-0.103,0.484,0.653,-0.99,Validation,87.38,1.18,CC1[C@H](C)CCC[C@H]1C,"cis,cis,trans-1,2,3-trimethylcyclohexane",86.2
tert-Butylbenzene,1.92,1.003,0.24,-0.26,0.392,1.105,-0.949,1.462,-0.656,0.484,0.252,-0.671,Validation,111.97,3.53,CC(c1ccccc1)(C)C,tert-Butylbenzene,115.5
3-Ethylpentane,-0.877,-1.121,-0.29,-0.366,-0.912,0.602,1.041,0.295,0.009,0.484,0.447,-0.589,Validation,71,6,CCC(CC)CC,3-Ethylpentane,65
¦Ã-Valerolactone,1.876,1.181,-0.606,-1.058,0.377,-0.711,-1.547,-0.133,1.8,-1.034,-2.025,2.306,Validation,93.41,6.59,CC1CCC(=O)O1,?-Valerolactone,100
1-Ethylcyclopentene,-0.003,0.448,0.013,-0.732,0.313,-0.53,0.689,-1.289,1.476,-1.034,-0.415,0.755,Validation,90.22,0.08,CCC1=CCCC1,1-Ethylcyclopentene,90.3
sec-Butylbenzene,1.701,1.27,0.889,-0.032,0.226,1.711,-0.403,1.087,-0.045,-0.275,0.634,-0.738,Validation,109.76,2.96,CCC(c1ccccc1)C,sec-Butylbenzene,106.8
iso-Butane,-1.533,-1.666,-1.931,-1.196,0.608,0.343,-0.72,0.905,-0.135,0.484,-1.219,1.037,Validation,104.72,4.42,CC(C)C,iso-Butane,100.3
3-Heptene (trans),-0.659,0.373,0.889,0.188,-0.316,0.366,-0.332,-0.797,-0.283,-0.275,0.093,-0.404,Validation,79.78,10.02,CCC/C=C/CC,3-Heptene (trans),89.8
1-Butene,-1.314,0.979,-1.206,-0.203,1.15,0.877,-1.195,0.349,-0.283,-1.034,-1.38,0.985,Validation,95.54,1.86,CCC=C,1-Butene,97.4
3-Ethyl-2-pentene,-0.396,0.251,-0.15,-0.072,0.891,-0.467,-0.368,-1.685,-0.072,0.484,0.079,0.866,Validation,97.27,3.57,CCC(=CC)CC,3-Ethyl-2-pentene,93.7
3-Ethyl-1-pentene,-0.571,0.843,-0.149,0.4,0.154,0.854,0.037,0.103,-0.036,-0.275,-0.115,-0.411,Validation,87.5,8.1,CCC(C=C)CC,3-Ethyl-1-pentene,95.6
ISOBUTANOL,-0.964,0.159,-1.171,0.563,0.6,0.272,-1.6,0.969,-0.139,0.484,-1.964,2.536,Validation,102.75,2.25,OCC(C)C,ISOBUTANOL,105
2-Butene (cis),-1.27,-0.029,-1.482,-0.48,1.26,0.5,-0.878,0.691,-0.171,-0.275,-1.424,1.156,Validation,98.57,1.43,C/C=C\C,2-Butene (cis),100
6-Methyl-1-heptene,-0.527,0.967,1.449,0.726,-0.94,0.248,0.442,-0.026,-0.396,-0.275,0.548,-0.775,Validation,66.51,2.91,C=CCCCC(C)C,6-Methyl-1-heptene,63.6
"2,3,3-Trimethyl-1-butene",-0.178,0.512,-0.948,-0.113,1.688,0.516,-1.283,-0.186,-1.25,1.243,-0.451,0.703,Validation,100.74,4.56,CC(=C)C(C)(C)C,"2,3,3-Trimethyl-1-butene",105.3
"1,4-Dimethyl-2-ethylbenzene",2.051,1.216,0.462,-0.121,0.653,0.578,-0.544,0.584,-0.922,0.484,1.069,-0.522,Validation,105.54,0.46,CCc1cc(C)ccc1C,"1,4-Dimethyl-2-ethylbenzene",106
"3,4-Dimethyl-1-pentene",-0.484,0.758,-0.233,0.27,0.544,0.374,-0.632,0.402,-0.733,0.484,-0.382,-0.255,Validation,99.94,1.04,C=CC(C(C)C)C,"3,4-Dimethyl-1-pentene",98.9
5-Methyl-1-hexene,-0.702,1.068,0.764,0.465,-0.253,0.453,0.055,0.231,-0.463,-0.275,-0.115,-0.411,Validation,80.62,5.12,C=CCCC(C)C,5-Methyl-1-hexene,75.5
"2,4,4-Trimethyl-2-pentene",-0.003,0.136,-0.246,-0.072,0.475,-0.428,-0.385,-0.55,-0.319,2.003,0.082,0.799,Validation,104.76,1.26,CC(=CC(C)(C)C)C,"2,4,4-Trimethyl-2-pentene",103.5
Methylcyclohexane,-0.571,-1.182,-0.72,-0.3,-0.758,-0.554,0.601,0.509,0.225,-1.034,-0.09,-0.552,Validation,74.16,0.64,CC1CCCCC1,Methylcyclohexane,74.8
"4,4-Dimethyl-1-pentene",-0.527,0.758,-0.093,0.229,0.612,-0.145,-0.544,0.606,-0.697,0.484,-0.439,-0.389,Validation,97.75,6.65,C=CCC(C)(C)C,"4,4-Dimethyl-1-pentene",104.4
Vinylcyclopentane,-0.222,0.636,0.147,-0.129,0.222,-1.238,-0.984,-1.503,2.034,-1.793,-0.586,-0.27,Validation,72.59,3.29,C=CC1CCCC1,Vinylcyclopentane,69.3
"2,2-Dimethylbutane ",-0.964,-1.285,-0.812,-0.919,0.514,-0.255,-0.139,1.205,-1.016,1.243,-0.519,0.124,Validation,103.38,11.58,CCC(C)(C)C,"2,2-Dimethylbutane ",91.8
"1,3-Dimethylcyclopentane (trans)",-0.44,-0.862,-0.519,-1.025,-0.533,-1.765,-0.068,-1.289,2.173,-0.275,-0.358,-0.374,Validation,79.18,1.42,[C@@H]1(C)CC[C@H](C1)C,"1,3-Dimethylcyclopentane (trans)",80.6
2-Octene,-0.527,0.458,1.879,0.498,-1.083,0.225,0.425,-0.401,0.239,-0.275,0.788,-0.901,Validation,50.38,5.92,CCCCCC=CC,2-Octene,56.3
Indene,2.531,1.839,-0.146,-0.602,0.823,2.002,-0.051,1.772,1.665,-1.793,-0.765,0.042,Validation,111.57,2.13,c1ccc2c(c1)C=CC2,Indene,113.7
"3,3-Diethylpentane",-0.178,-1.123,-0.283,-0.089,-0.583,-0.263,0.759,0.541,0.117,1.243,1.56,-1.072,Validation,89.12,5.12,CCC(CC)(CC)CC,"3,3-Diethylpentane",84
"1,2-Dimethyl-3-ethylbenzene",2.094,1.216,0.49,-0.121,0.314,0.681,-0.773,0.691,-0.791,0.484,1.069,-0.515,Validation,108.84,4.44,CCc1cccc(c1C)C,"1,2-Dimethyl-3-ethylbenzene",104.4
2-Methyl-1-pentene,-0.79,0.96,-0.173,-0.007,0.635,0.343,-0.227,-0.679,-1.165,-0.275,-0.453,1.066,Validation,94.75,0.55,CCCC(=C)C,2-Methyl-1-pentene,94.2
"2,4-Dimethyl-1-pentene",-0.527,0.819,-0.422,0.123,0.458,-0.074,0.777,-0.347,-1.655,0.484,-0.129,0.71,Validation,97.22,1.98,CC(CC(=C)C)C,"2,4-Dimethyl-1-pentene",99.2
"2,5-Dimethyl-2-hexene",-0.265,0.404,0.282,0.05,0.59,-0.121,0.372,-1.053,-0.315,1.243,0.45,0.688,Validation,99,3.8,CC(CC=C(C)C)C,"2,5-Dimethyl-2-hexene",95.2
"2,3-Dimethyl-1-hexene",-0.222,0.728,0.787,0.367,0.093,0.492,-0.139,-0.518,-0.868,0.484,0.533,0.138,Validation,95.63,0.67,CCCC(C(=C)C)C,"2,3-Dimethyl-1-hexene",96.3
"2,4-Dimethylpentane",-0.877,-1.17,-0.357,-0.512,-0.715,0.052,0.53,0.21,0.248,1.243,0.144,-0.352,Validation,84.02,0.92,CC(CC(C)C)C,"2,4-Dimethylpentane",83.1
2-Methyl-2-butene,-0.921,-0.273,-0.994,-0.48,1.464,0.461,-0.42,-0.133,-0.508,0.484,-1.023,1.891,Validation,98.49,1.19,CC=C(C)C,2-Methyl-2-butene,97.3
"2,3-Dimethyl-1,3-butadiene",-0.178,0.826,-1.168,-0.04,1.592,0.917,-0.861,-0.197,-1.502,-0.275,-0.91,1.156,Validation,97.72,1.48,CC(=C)C(=C)C,"2,3-Dimethyl-1,3-butadiene",99.2
3-Methyl-3-hexene (cis),-0.44,0.251,-0.08,-0.129,0.556,0.225,0.178,-0.829,-0.409,0.484,0.079,0.844,Validation,95.41,0.59,CC/C=C(\CC)/C,3-Methyl-3-hexene (cis),96
"3,3-Dimethyl-1-pentene",-0.353,0.758,-0.276,0.221,0.758,0.256,-0.949,0.37,-1.237,0.484,-0.439,-0.381,Validation,102.5,1,CCC(C=C)(C)C,"3,3-Dimethyl-1-pentene",103.5
n-Propylbenzene,1.308,1.285,1.053,-0.146,0.292,1.011,-0.614,0.82,-0.881,-1.034,0.249,-0.322,Validation,107.48,3.52,CCCc1ccccc1,n-Propylbenzene,111
