NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
1,isobutane,CC(C)C,103.3274869,99.12263053,23.46376722,26052.63565,45302.15242,421.7802107,0,0.575086045,268.3646629
2,1-butene,C=CCC,97.43714972,81.97752834,31.60894418,26461.37999,44899.3739,375.2740991,0.019117616,0.58934853,268.6817715
3,n-butane,CCCC,86.86123044,84.62073371,22.38627983,26026.91149,45609.22176,330.2605741,0,0.570650199,276.8813836
4,trans-2-butene,C/C=C/C,92.66942463,97.19908379,40.30010322,27524.61509,44892.66517,333.7431524,0.014178414,0.61312054,277.451325
5,cis-2-butene,C/C=C\C,92.66942463,97.19908379,40.30010322,27524.61509,44892.66517,333.7431524,0.015573012,0.61312054,277.451325
6,3-methyl-1-butene,C=CC(C)C,93.11389984,79.55971767,38.57145737,27850.66464,44200.58886,147.7384772,0.005454428,0.63009714,294.9162976
7,isopentane,CCC(C)C,90.40230736,85.65808115,30.10953729,27812.17029,44880.96583,136.7935299,0,0.619687428,302.5105922
8,1-pentene,C=CCCC,88.38541378,74.49141121,38.00364645,28176.68403,44555.74789,127.6661893,0.012225977,0.632391675,302.5037457
9,2-methyl-1-butene,C=C(C)CC,103.3515434,82.50144696,34.41939971,28900.35951,44549.33063,113.1344569,0.029875391,0.648727132,303.9150342
10,n-pentane,CCCCC,61.86980994,63.54538732,28.658022,27762.88279,45124.99607,110.5585735,0,0.615243994,310.680615
11,2-pentene,CC=CCC,93.80804163,89.26390254,47.18209563,28967.71526,44549.33063,124.3530223,0.000898741,0.650239069,309.2318038
12,trans-2-pentene,C/C=C/CC,93.80804163,89.26390254,47.18209563,28967.71526,44549.33063,124.3530223,0.031084043,0.650239069,309.2318038
13,cis-2-pentene,C/C=C\CC,93.80804163,89.26390254,47.18209563,28967.71526,44549.33063,124.3530223,0.01797482,0.650239069,309.2318038
14,2-methyl-2-butene,CC(C)=CC,97.56905314,87.93343325,36.27458673,29572.88096,44635.09889,108.8516521,0.057705371,0.662547674,312.4177389
15,"1,3-pentadiene",C=CC=CC,93.03766319,96.99310432,128.1499621,29875.41253,43952.18092,94.80766449,0.002425028,0.679725372,312.4737692
16,"1,3-cyclopentadiene",C1=CC=CC1,178.6998689,34.23947293,78.16409927,35498.48412,43855.69248,90.74619331,0.0014139,0.809438458,314.7174411
17,"2,2-dimethylbutane",CC(C)(C)CC,86.79778516,87.62678923,40.99143919,28701.57049,44742.9139,71.679406,0,0.641477454,323.3888759
18,cyclopentene,C1=CCCC1,139.6892014,63.14389888,44.38499127,33828.4616,43787.81742,90.35572535,0.006030661,0.772554185,317.6272729
19,4-methyl-1-pentene,C=CCC(C)C,92.83658159,70.13382381,45.5331163,29339.09404,44060.97074,52.82221278,0.002169375,0.66587489,327.36875
20,3-methyl-1-pentene,C=CC(C)CC,95.39659575,80.63648683,45.5331163,29339.09404,44060.97074,46.31610321,0.003047455,0.66587489,327.36875
