NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
21,cyclopentane,C1CCCC1,103.9811369,86.31590899,26.32934865,32209.19535,43723.90181,94.80410027,0,0.736649613,320.9458698
22,"2,3-dimethylbutane",CC(C)C(C)C,103.7878747,93.20354617,41.16413569,29458.86333,44466.08778,55.85219168,0,0.662501803,329.0662319
23,cis-4-methyl-2-pentene,C/C=C\C(C)C,98.82369591,79.99058902,54.05358262,29868.34728,44112.92896,49.71833932,0.001588292,0.677088282,331.3552845
24,2-methylpentane,CC(C)CCC,71.37066461,68.10023088,36.82761189,29239.05407,44625.16428,42.92302786,0,0.655214486,334.375854
25,3-methylpentane,CCC(C)CC,77.48023547,73.5605356,36.82761189,29239.05407,44625.16428,40.24276941,0,0.655214486,334.375854
26,2-methyl-1-pentene,C=C(C)CCC,97.40172646,81.71217915,41.78968171,30164.54713,44350.66713,41.12531881,0.010343269,0.680137393,335.262647
27,1-hexene,C=CCCCC,73.7917539,64.03334911,44.47814861,29606.46269,44355.40688,37.24709281,0.004312924,0.667482609,334.4649454
28,2-ethyl-1-butene,C=C(CC)CC,97.40172646,83.21553943,41.78968171,30164.54713,44350.66713,41.40614991,0.003150759,0.680137393,335.262647
29,n-hexane,CCCCCC,32.77349417,36.41284382,34.99650335,29188.95361,44823.07597,37.38167001,0,0.651203716,342.3042314
30,trans-3-hexene,CC/C=C/CC,95.32177706,80.6121936,54.15605153,30129.37153,44350.66713,36.37776726,0.005500915,0.679344269,339.3994048
31,cis-3-hexene,CC/C=C\CC,95.32177706,80.6121936,54.15605153,30129.37153,44350.66713,36.37776726,0.002001507,0.679344269,339.3994048
32,trans-2-hexene,C/C=C/CCC,86.51010176,79.15647671,54.15605153,30129.37153,44350.66713,35.57576837,0.011763693,0.679344269,339.3994048
33,2-methyl-2-pentene,CC(C)=CCC,97.00244345,84.58840757,44.13419318,30720.86689,44414.205,36.92528545,0.015560099,0.691690122,341.4365169
34,3-methylcyclopentene,CC1C=CCC1,118.8680013,73.1382642,47.42272473,33510.8375,43536.59834,35.98828397,0.01332246,0.769716486,335.5386564
35,"4,4-dimethyl-1-pentene",C=CCC(C)(C)C,104.5829863,85.14163174,58.15629145,30484.58547,44020.86525,27.31486055,0.001427803,0.692503096,338.9732326
36,cis-2-hexene,C/C=C\CCC,86.51010176,79.15647671,54.15605153,30129.37153,44350.66713,35.57576837,0.007011729,0.679344269,339.3994048
37,trans-3-methyl-2-pentene,C/C=C(C)/CC,97.00244345,84.58840757,44.13419318,30720.86689,44414.205,34.21440287,0.015327666,0.691690122,341.4365169
38,"trans-4,4-dimethyl-2-pentene",C/C=C/C(C)(C)C,104.751817,90.22870311,61.86094014,30535.96474,44104.81317,26.31976876,0.00018816,0.69234994,347.679955
39,methylcyclopentane,CC1CCCC1,89.39923947,82.17257809,35.354921,32301.62734,43487.46186,39.48862861,0,0.74278024,343.2189051
40,"2,4-dimethylpentane",CC(C)CC(C)C,84.5742951,76.11987619,48.3585971,30550.41673,44316.97574,20.5161093,0,0.689361497,358.7715206
41,"2-methyl-1,3-pentadiene",C=C(C)C=CC,93.24669013,90.29011364,114.8358312,31700.27357,43806.24634,29.48888265,0.000740872,0.723647339,346.2993141
42,"2,3,3-trimethyl-1-butene",C=C(C)C(C)(C)C,103.9471714,86.70120217,72.51052278,31311.22147,44104.81317,25.87876051,0.000320979,0.709927539,349.7511862
43,"2-methyl-1,3-cyclopentadiene",CC1=CCC=C1,147.7571009,67.84307737,120.1084041,34758.48606,43587.84028,26.34514174,0.001112142,0.797435382,350.498479
44,"1,3-cyclohexadiene",C1=CC=CCC1,164.8542069,33.29935963,102.1671959,35687.90126,43452.49026,28.1884064,0.000542508,0.821308538,357.7258571
45,"3,4-dimethyl-1-pentene",C=CC(C)C(C)C,99.2166942,80.82007536,56.47951921,30432.74441,43733.98443,20.41780826,0.000287774,0.69586032,353.5322095
46,"2,3-dimethyl-1,4-pentadiene ",C=C(C)C(C)C=C,93.15157589,80.16241056,97.28708523,31464.75326,43461.1338,16.8280525,0.000723216,0.723974515,356.0214774
47,"2,4-dimethyl-1-pentene",C=C(C)CC(C)C,99.98462359,84.18193655,59.60778448,30914.50796,44020.86525,21.30762752,0.000475934,0.70226943,357.2976188
48,1-methylcyclopentene,CC1=CCCC1,112.9721358,81.10332179,73.79444381,33665.13335,43536.59834,30.24140039,0.013467988,0.773260535,346.1354311
49,benzene,C1=CC=CC=C1,102.0322695,93.44028818,105.825604,35550.83859,40388.42124,39.98389841,0,0.880223527,357.2742244
50,3-methyl-1-hexene,C=CC(C)CCC,83.82132711,81.11903102,52.58284725,30517.62714,43983.44995,18.79565823,0.000287774,0.693843416,357.7049888
51,"3,3-dimethylpentane",CCC(C)(C)CC,81.51294293,87.99336088,47.83549278,30165.35902,44551.60713,20.93276447,0,0.67708801,361.633436
52,5-methyl-1-hexene,C=CCCC(C)C,80.00092422,67.03686732,52.58284725,30517.62714,43983.44995,18.77261947,0.000464866,0.693843416,357.7049888
53,"2,3-dimethyl-1-pentene",C=C(C)C(C)CC,100.15097,82.1104751,59.60778448,30914.50796,44020.86525,19.41660312,0.000276706,0.70226943,357.2976188
54,cyclohexane,C1CCCCC1,83.17936286,75.59045645,39.58368712,33425.67759,43358.93351,31.50011968,0,0.77090636,356.9099321
55,trans-2-methyl-3-hexene,CC(C)/C=C/CC,101.2031798,82.74984439,61.67557814,30751.32927,44020.86525,18.87186222,0.001117892,0.698562582,360.2143226
56,"2,3-dimethyl-1,4-pentadiene",C=C(C)C(C)C=C,93.15157589,80.16241056,97.28708523,31464.75326,43461.1338,16.8280525,0.001062224,0.723974515,356.0214774
57,4-methyl-1-hexene,C=CCC(C)CC,83.82132711,69.27520977,52.58284725,30517.62714,43983.44995,18.3845727,0.001361393,0.693843416,357.7049888
58,cis-4-methyl-2-pentene,C/C=C\C(C)C,98.82369591,79.99058902,54.05358262,29868.34728,44112.92896,49.71833932,0.003538147,0.677088282,331.3552845
59,2-methylhexane,CC(C)CCCC,48.412034,47.98374361,43.6187478,30368.41837,44460.28524,16.30814774,0,0.683045964,363.894012
60,"2,3-dimethylpentane",CC(C)C(C)CC,92.28666138,79.15708307,48.3585971,30550.41673,44316.97574,18.05832992,0,0.689361497,358.7715206
61,"1,1-dimethylcyclopentane",CC1(C)CCCC1,92.69793846,88.51306012,57.77709258,32748.67739,43417.66802,17.15785091,0,0.754270758,360.9842813
62,cyclohexene,C1=CCCCC1,124.7996133,62.56078632,64.10041267,34507.2167,43404.81137,26.38917061,0.001944788,0.795009024,356.3939111
63,3-methylhexane,CCC(C)CCC,52.99700461,58.25645743,43.6187478,30368.41837,44460.28524,15.60002561,0,0.683045964,363.894012
64,"cis-3,4-dimethyl-2-pentene",C/C=C(C)\C(C)C,96.90078849,82.31237814,65.82904148,31264.16388,44104.81317,18.35781599,0.001184302,0.70886059,360.2506852
65,"cis 1,3-dimethylcyclopentane",C[C@@H]1C[C@H](C)CC1,77.72763209,73.20820714,46.21527717,32662.34709,43417.66802,16.39653461,0,0.752282391,365.6135832
66,2-methylhexene,C=C(C)CCCC,85.86746396,77.34134463,49.24844914,31199.32605,44229.13996,16.13510374,0.008223702,0.705402051,364.9077826
67,"trans-1,2-dimethylcyclopentane",C[C@H]1[C@H](C)CCC1,102.0454722,87.29494264,46.21527717,32662.34709,43417.66802,15.85341776,0,0.752282391,365.6135832
68,"2,2,4-trimethylpentane",CC(C)(C)CC(C)C,99.72608461,109.785355,59.36284756,31462.47271,44314.19622,8.703392407,0,0.709986311,375.3585001
69,cis-3-methyl-3-hexene,CC/C(C)=C\CC,92.60403738,80.059795,52.09493181,31634.87402,44278.33549,13.32633206,0.002003351,0.714454906,369.0060476
70,trans-3-heptene,CC/C=C/CCC,86.36096066,78.73561187,61.22287483,31042.9308,44229.13996,12.07676827,0.003065902,0.701866028,367.9223445
71,1-heptene,C=CCCCCC,53.93201588,50.31362805,51.03346748,30752.83782,44231.14998,12.62829537,0.003674655,0.695275566,364.4554252
72,n-heptane,CCCCCCC,2.785198731,7.371766655,41.40248778,30325.67785,44621.69194,12.38038161,0,0.679617391,371.7310186
73,cis-3-heptene,CC/C=C\CCC,86.36096066,78.73561187,61.22287483,31042.9308,44229.13996,12.07676827,0.006862308,0.701866028,367.9223445
74,trans-3-methyl-3-hexene,CC/C(C)=C/CC,92.60403738,80.059795,52.09493181,31634.87402,44278.33549,13.32633206,0.002733855,0.714454906,369.0060476
75,trans-2-heptene,C/C=C/CCCC,74.71501006,65.74032702,61.22287483,31042.9308,44229.13996,12.03503103,0.00270065,0.701866028,367.9223445
76,3-ethyl-2-pentene,CC=C(CC)CC,92.60403738,80.059795,52.09493181,31634.87402,44278.33549,17.48189072,0.001826259,0.714454906,369.0060476
77,trans-3-methyl-2-hexene,C/C=C(C)/CCC,92.60403738,80.059795,52.09493181,31634.87402,44278.33549,14.28367557,0.003530768,0.714454906,369.0060476
78,"2,4,4-trimethyl-1-pentene",C=C(C)CC(C)(C)C,107.2423811,107.7197395,80.79854131,32203.20705,44031.13407,9.60412435,0.002663295,0.731373555,373.8783159
79,"2,3-dimethyl-2-pentene",CC(C)=C(C)CC,97.18054856,81.54859763,75.65146396,32271.3889,44370.78566,19.42357877,0.001793055,0.72731164,370.7241941
80,2-methylcyclohexene,CC1=CCCCC1,102.0136884,71.18456255,89.65947895,34807.13254,43227.5094,9.023539222,0.000248606,0.805207911,381.6733892
81,3-ethylcyclopentene,CCC1C=CCC1,92.03025991,56.32614952,55.71249356,34093.41704,43525.045,12.18489987,0.000711916,0.783305728,371.0216595
82,"cis 1,2-dimethylcyclopentane",C[C@@H]1[C@H](C)CCC1,102.0454722,87.29494264,46.21527717,32662.34709,43417.66802,15.85341776,0,0.752282391,365.6135832
83,methylcyclohexane,CC1CCCCC1,73.14798321,72.43474117,53.98400309,33594.64001,43187.90559,10.17813309,0,0.777871479,376.7684437
84,"1,1,3-trimethylcyclopentane",CC1CC(C)(C)CC1,81.93968715,84.40833745,76.47619021,33141.96525,43426.265,8.239940023,0,0.763177889,380.5951844
85,"2,4,4-trimethyl-2-pentene",CC(C)=CC(C)(C)C,102.810258,84.42719409,88.81846042,32131.19288,44122.4638,9.245725068,0.000309911,0.728227531,379.3477334
86,"2,5-dimethylhexane",CC(C)CCC(C)C,62.80921141,58.13253003,55.63222241,31404.10551,44220.51899,7.907938283,0,0.710170442,385.9954743
87,"2,4-dimethylhexane",CC(C)CC(C)CC,69.20204603,75.72782985,55.63222241,31404.10551,44220.51899,7.141817064,0,0.710170442,385.9954743
88,3-methylcyclohexene,CC1C=CCCC1,105.8316915,65.34750722,71.93908727,34408.73523,43227.5094,12.09757784,0.001107425,0.79599162,372.3016312
89,4-methylcyclohexene,CC1CC=CCC1,105.8316915,65.34750722,71.93908727,34408.73523,43227.5094,11.91724047,0.000293807,0.79599162,372.3016312
90,"1, 2,4-trimethylcyclopentane",CC1CC(C)C(C)C1,89.1166591,81.88110364,60.2097673,33156.67368,43426.265,8.886915857,0,0.763516588,388.0942867
91,"3,3-dimethylhexane",CCC(C)(C)CCC,58.47069234,80.72032233,54.76061096,31316.39701,44421.97034,7.159961357,0,0.704975416,385.5629633
92,1-octene,C=CCCCCCC,30.40797341,32.05958837,57.67061594,31647.3662,44149.69998,4.168006572,0.000300226,0.716819508,392.4730297
93,"3,4-dimethyl-1-hexene",C=CC(C)C(C)CC,90.21345372,86.96152249,64.14696372,31330.40394,43714.92008,6.266954686,0.000755407,0.716698186,382.0111472
94,"1,2-dimethylcyclopentene",CC1=C(C)CCC1,99.24968962,79.94173712,83.08687252,34392.75197,43461.1338,13.38196546,0.006814053,0.791345024,356.4828611
95,1-ethylcyclopentene,CCC1=CCCC1,88.86198028,58.12560141,81.16194652,34429.76679,43525.045,9.37842847,0.001841941,0.791033456,377.8568917
96,toluene,CC1=CC=CC=C1,120.0589148,100.8980314,196.8847215,35375.25867,40684.66269,7.729943098,0,0.869498635,381.8488507
97,cis 4-methyl-2-heptene,C/C=C\C(C)CCC,89.45556922,82.28880834,69.39716784,31439.86704,43968.26018,6.419855689,0.00131712,0.715058247,387.2759207
98,"2,3-dimethylhexane",CC(C)C(C)CCC,69.20204603,75.72782985,55.63222241,31404.10551,44220.51899,6.034080226,0,0.710170442,385.9954743
99,1-methylcyclohexene,CC1=CCCCC1,102.0136884,71.18456255,89.65947895,34807.13254,43227.5094,9.023539222,0.002147048,0.805207911,381.6733892
100,2-methylheptane,CC(C)CCCCC,24.90068992,27.00855712,50.48369923,31250.48937,44348.81186,5.924490352,0,0.704652234,391.1218515
101,4-methylheptane,CCCC(C)CCC,27.95744343,43.68196501,50.48369923,31250.48937,44348.81186,5.297539998,0,0.704652234,391.1218515
102,"3,4-dimethylhexane",CCC(C)C(C)CC,77.83523437,79.60950998,55.63222241,31404.10551,44220.51899,5.784732265,0,0.710170442,385.9954743
103,3-methylheptane,CCC(C)CCCC,27.95744343,43.68196501,50.48369923,31250.48937,44348.81186,5.285224109,0,0.704652234,391.1218515
104,3-ethylhexane,CCC(CC)CCC,31.29142946,51.77772812,50.48369923,31250.48937,44348.81186,5.253719395,0,0.704652234,391.1218515
105,"cis 1,3-dimethylcyclohexane",C[C@@H]1C[C@H](C)CCC1,70.23492274,66.09313858,70.63904035,33750.88654,43139.16984,4.86611717,0,0.782372185,395.7314947
106,"trans 1,4-dimethylcyclohexane",C[C@H]1CC[C@H](C)CC1,67.99656577,64.11610349,70.63904035,33750.88654,43139.16984,4.801109739,0,0.782372185,395.7314947
107,2-methyl-1-heptene,C=C(C)CCCCC,68.49843165,66.68442796,56.7965575,32018.85906,44151.32134,5.33501332,0.001530184,0.725207266,392.8759485
108,cis-1-ethyl-3-methylcyclopentane,C[C@@H]1C[C@H](CC)CC1,60.51530417,53.41738374,54.14219591,33474.68633,43439.25498,5.009028226,0,0.770609126,392.2183601
109,trans-1-methyl-2-ethylcyclopentane,CC[C@H]1[C@H](C)CCC1,78.13957755,73.61943173,54.14219591,33474.68633,43439.25498,4.486257709,0,0.770609126,392.2183601
110,1-ethyl-1-methylcyclopentane,CC1(CC)CCCC1,73.39510893,78.5876581,64.3295946,33574.46525,43439.25498,5.85327044,0,0.772906102,392.5526003
111,trans-3-octene,CC/C=C/CCCC,72.60457648,71.65375801,68.38344823,31754.24444,44151.32134,4.129286208,0.003922307,0.71921391,394.8394019
112,cis-3-octene,CC/C=C\CCCC,72.60457648,71.65375801,68.38344823,31754.24444,44151.32134,4.129286208,0.000832885,0.71921391,394.8394019
113,n-octane,CCCCCCCC,-24.65666928,-19.46447513,47.87673972,31215.29681,44479.61069,4.403508745,0,0.701788894,399.0346364
114,"1,2,3-trimethylcyclopentane",CC1C(C)C(C)CC1,86.44623393,91.20200418,60.2097673,33156.67368,43426.265,8.113132439,0,0.763516588,388.0942867
115,isopropylcyclopentane,CC(C1CCCC1)C,80.95081906,75.55481952,62.76953753,33678.19761,43139.16984,4.646539754,0,0.780687198,399.0649901
116,"2,3,5-trimethylhexane",CC(C)C(C)CC(C)C,80.99065139,93.28044839,73.63614244,32256.91332,44015.03679,3.336860648,0,0.732861215,408.3565111
117,cis-1-methyl-2-ethylcyclopentane,CC[C@@H]1[C@H](C)CCC1,78.13957755,73.61943173,54.14219591,33474.68633,43439.25498,4.486257709,0,0.770609126,392.2183601
118,"2,4-dimethyl heptane",CC(C)CC(C)CCC,49.85785216,66.71163806,62.98572288,32072.10048,44156.40885,3.006336245,0,0.726329457,410.8752705
119,"cis 1,2-dimethylcyclohexane",C[C@@H]1[C@H](C)CCCC1,94.18962193,78.20111347,70.63904035,33750.88654,43139.16984,4.830509768,0,0.782372185,395.7314947
120,"2,6-dimethylheptane",CC(C)CCCC(C)C,42.03348617,40.06057436,62.98572288,32072.10048,44156.40885,3.914264352,0,0.726329457,410.8752705
121,ethylcyclohexane,CCC1CCCCC1,50.18170799,42.75583073,61.3748564,34273.94636,43231.85615,3.191119917,0,0.792793773,405.036757
122,"2,5-dimethylheptane",CC(C)CCC(C)CC,49.85785216,66.71163806,62.98572288,32072.10048,44156.40885,2.935909838,0,0.726329457,410.8752705
123,"1,1,4-trimethylcyclohexane",CC1CCC(C)(C)CC1,77.93750435,84.72275654,91.65364049,34154.22778,43150.70736,3.708024665,0,0.791510264,418.8578616
124,ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35454.87629,40984.4306,2.178834404,0,0.865081588,407.8564747
125,"2,3-dimethylheptane",CC(C)C(C)CCCC,49.85785216,66.71163806,62.98572288,32072.10048,44156.40885,2.483947985,0,0.726329457,410.8752705
126,m-xylene,CC1=CC=CC(C)=C1,142.9356239,103.5317734,224.0880903,35603.68994,40839.90364,2.204135448,0,0.871786825,410.5326928
127,p-xylene,CC1=CC=C(C)C=C1,146.2408327,89.53794871,247.9888439,35603.68994,40839.90364,2.246814888,0,0.871786825,410.5326928
128,4-ethylheptane,CCCC(CC)CCC,2.872365668,23.46156967,57.42321737,31936.5588,44270.01788,2.087511821,0,0.721403793,416.198313
129,4-methyloctane,CCCC(C)CCCC,2.872365668,23.46156967,57.42321737,31936.5588,44270.01788,2.241510534,0,0.721403793,416.198313
130,2-methyloctane,CC(C)CCCCCC,4.234519354,7.541789552,57.42321737,31936.5588,44270.01788,2.182586504,0,0.721403793,416.198313
131,3-methyloctane,CCC(C)CCCCC,2.872365668,23.46156967,57.42321737,31936.5588,44270.01788,2.234221926,0,0.721403793,416.198313
132,2-methyl-1-octene,C=C(C)CCCCCC,46.40693566,48.8234854,64.43484857,32652.96091,44098.99522,1.833306593,0.000697299,0.740446823,419.2372787
133,styrene,C=CC1=CC=CC=C1,102.0061523,100.1204162,198.8022156,37192.40705,40628.69082,1.881140768,0.001721701,0.915422237,415.9976119
134,o-xylene,CC1=CC=CC=C1C,121.0922157,100.9284239,251.3382981,35603.68994,40839.90364,1.978473244,0,0.871786825,410.5326928
135,3-ethylheptene,C=CC(CC)CCCC,61.1853005,70.36016075,66.95034716,32130.3259,43915.97699,2.165779011,0.00131712,0.731631814,411.9577223
136,1-nonene,C=CCCCCCCC,6.083561725,9.211132965,64.39060206,32332.56839,44092.9116,1.434304376,0.001205208,0.73328268,418.586407
137,trans-4-nonene,CCC/C=C/CCCC,55.06923594,57.40422972,75.63863175,32308.89323,44098.99522,1.34145201,0.001558162,0.732644657,420.2259359
138,trans-3-nonene,CC/C=C/CCCCC,55.06923594,57.40422972,75.63863175,32308.89323,44098.99522,1.330833904,0.000903906,0.732644657,420.2259359
139,cis-3-nonene,CC/C=C\CCCCC,55.06923594,57.40422972,75.63863175,32308.89323,44098.99522,1.330833904,0.000791994,0.732644657,420.2259359
140,n-nonene,C=CCCCCCCC,6.083561725,9.211132965,64.39060206,32332.56839,44092.9116,1.434304376,0.003934144,0.73328268,418.586407
141,trans-2-nonene,C/C=C/CCCCCC,41.65119691,23.32021873,75.63863175,32308.89323,44098.99522,1.274375992,0.000654256,0.732644657,420.2259359
142,cis-2-nonene,C/C=C\CCCCCC,41.65119691,23.32021873,75.63863175,32308.89323,44098.99522,1.274375992,0.000525126,0.732644657,420.2259359
143,isopropylbenzene,CC(C1=CC=CC=C1)C,68.05719129,62.54592979,247.625646,35181.05684,41132.97317,1.090523393,0,0.855300605,423.6694135
144,"2,2-dimethyloctane",CC(C)(C)CCCCCC,45.62909862,40.89681702,68.85712011,32849.87133,44264.54864,1.240108322,0,0.742125975,430.4525622
145,"3,5-dimethyloctane",CCC(C)CC(C)CCC,35.94353936,67.5111046,70.41980178,32599.7214,44112.71557,0.949303319,0,0.739009625,433.6148596
146,1-decene,C=CCCCCCCCC,-15.87135577,-15.8300353,71.19442817,32851.88034,44050.24971,0.501042821,0.000131712,0.745781932,442.9050503
147,"2,6-dimethyloctane",CC(C)CCCC(C)CC,31.33691389,51.51759018,70.41980178,32599.7214,44112.71557,0.887161271,0,0.739009625,433.6148596
148,"3,6-dimethyloctane",CCC(C)CCC(C)CC,35.94353936,67.5111046,70.41980178,32599.7214,44112.71557,1.027610043,0,0.739009625,433.6148596
149,n-propylbenzene,CCCC1=CC=CC=C1,104.3568384,97.35795925,215.4010971,35521.10846,41228.72394,1.091183343,0,0.86156216,432.4073229
150,m-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35454.87629,40984.4306,2.178834404,0,0.865081588,407.8564747
151,p-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35454.87629,40984.4306,2.178834404,0,0.865081588,407.8564747
152,4-ethyloctane,CCCC(CC)CCCC,-19.11508595,0.033555968,64.43804979,32472.5636,44211.72703,0.640082243,0,0.734478515,439.3094501
153,"1,3,5-trimethylbenzene",CC1=CC(C)=CC(C)=C1,169.5334049,108.1314102,305.6115798,35991.61701,40935.40481,1.277217781,0,0.879229537,440.9925141
154,5-methylnonane,CCCCC(C)CCCC,-19.11508595,0.033555968,64.43804979,32472.5636,44211.72703,0.583789537,0,0.734478515,439.3094501
155,4-methylnonane,CCCC(C)CCCCC,-19.11508595,0.033555968,64.43804979,32472.5636,44211.72703,0.552096054,0,0.734478515,439.3094501
156,2-methylnonane,CC(C)CCCCCCC,-11.38690354,-8.178571309,64.43804979,32472.5636,44211.72703,0.547522937,0,0.734478515,439.3094501
157,o-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35454.87629,40984.4306,2.178834404,0,0.865081588,407.8564747
158,3-methylnonane,CCC(C)CCCCCC,-19.11508595,0.033555968,64.43804979,32472.5636,44211.72703,0.588565819,0,0.734478515,439.3094501
159,"1,2,4-trimethylbenzene",CC1=CC=C(C)C(C)=C1,146.9654362,109.4936337,309.223736,35991.61701,40935.40481,0.995365896,0,0.879229537,440.9925141
160,1-decene,C=CCCCCCCCC,-15.87135577,-15.8300353,71.19442817,32851.88034,44050.24971,0.501042821,0.000317658,0.745781932,442.9050503
161,n-decane,CCCCCCCCCC,-63.63147268,-56.78726727,61.03310417,32439.92499,44291.47613,0.449755493,0,0.732419143,447.8361434
162,"1,2,3-trimethylbenzene",CC1=C(C)C(C)=CC=C1,117.6866778,101.4773864,299.7384817,35991.61701,40935.40481,0.709439173,0,0.879229537,440.9925141
163,n-undecane,CCCCCCCCCCC,-74.62340123,-67.13433786,67.71674466,32857.49024,44223.74524,0.139668196,0,0.742982985,469.6748556
164,"2,5-dimethylnonane",CC(C)CCC(C)CCCC,16.36931431,32.53747653,77.93515373,33023.84322,44082.15049,0.38618562,0,0.749143199,454.4507546
165,indan,C12=C(CCC2)C=CC=C1,101.7576754,89.80723042,426.8015601,40221.28611,40394.07627,1.544906927,0,0.995722389,450.6622193
166,1-undecene,C=CCCCCCCCCC,-33.20573097,-39.28882971,78.08308983,33244.57172,44015.36444,0.180224331,0.000253563,0.755294706,465.5580301
167,"2,6-dimethylnonane",CC(C)CCCC(C)CCC,16.36931431,32.53747653,77.93515373,33023.84322,44082.15049,0.38618562,0,0.749143199,454.4507546
168,"1,3-diethylbenzene",CCC1=CC(CC)=CC=C1,101.5634214,95.23971752,245.3930114,35927.35469,41396.81807,0.330304751,0,0.867877203,457.7320788
169,1-methyl-3-propylbenzene,CCCC1=CC(C)=CC=C1,99.24017342,95.23971752,245.3930114,35927.35469,41396.81807,0.423242277,0,0.867877203,457.7320788
170,1-methyl-4-propylbenzene,CCCC1=CC=C(C)C=C1,100.6407079,97.40070822,270.1455862,35927.35469,41396.81807,0.391658332,0,0.867877203,457.7320788
171,"1-ethyl-2,3-dimethylbenzene",CC1=C(C)C(CC)=CC=C1,99.83836057,94.51806769,348.7553447,36216.62059,41216.00026,0.172565495,0,0.87870294,462.8996091
172,p-diethylbenzene,CCC1=CC=C(CC)C=C1,102.2972493,97.40070822,270.1455862,35927.35469,41396.81807,0.379575338,0,0.867877203,457.7320788
173,5-methyldecane,CCCCC(C)CCCCC,-35.95955668,-22.63220825,71.52893994,32896.6931,44166.50132,0.227657406,0,0.744833576,460.6616564
174,1-methyl-2-propylbenzene,CCCC1=CC=CC=C1C,100.7487114,92.54522739,322.9424494,35927.35469,41396.81807,0.34202211,0,0.867877203,457.7320788
175,4-methyldecane,CCCC(C)CCCCCC,-35.95955668,-22.63220825,71.52893994,32896.6931,44166.50132,0.223007317,0,0.744833576,460.6616564
176,2-methyldecane,CC(C)CCCCCCCC,-21.37334377,-19.29413668,71.52893994,32896.6931,44166.50132,0.22078838,0,0.744833576,460.6616564
177,"2-ethyl-1,4-dimethylbenzene",CC1=CC=C(C)C(CC)=C1,100.8134331,96.28836741,355.2338703,36216.62059,41216.00026,0.323744835,0,0.87870294,462.8996091
