NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
14,cyclopentane,C1CCCC1,103.9811369,86.31590899,26.32934865,32235.27864,43759.30982,94.80410027,0,0.736649613,320.9458698
15,"2,3-dimethylbutane",CC(C)C(C)C,103.7878747,93.20354617,41.16413569,29482.2807,44501.43466,55.85219168,0,0.662501803,329.0662319
16,2-methylpentane,CC(C)CCC,71.37066461,68.10023088,36.82761189,29262.29671,44660.63761,42.92302786,0,0.655214486,334.375854
17,3-methylpentane,CCC(C)CC,77.48023547,73.5605356,36.82761189,29262.29671,44660.63761,40.24276941,0,0.655214486,334.375854
18,2-methyl-1-pentene,C=C(C)CCC,97.40172646,81.71217915,41.78968171,30188.97465,44386.5827,41.12531881,0.000551842,0.680137393,335.262647
19,hexane,CCCCCC,32.77349417,36.41284382,34.99650335,29212.15643,44858.70662,37.38167001,0,0.651203716,342.3042314
20,trans-3-hexene,CC/C=C/CC,95.32177706,80.6121936,54.15605153,30153.77056,44386.5827,36.37776726,0.000167952,0.679344269,339.3994048
21,trans-2-hexene,C/C=C/CCC,86.51010176,79.15647671,54.15605153,30153.77056,44386.5827,35.57576837,0.00038389,0.679344269,339.3994048
22,2-methyl-2-pentene,CC(C)=CCC,97.00244345,84.58840757,44.13419318,30745.74493,44450.17202,36.92528545,0.000635818,0.691690122,341.4365169
23,cis 3-methyl-2-pentene,C/C=C(C)\CC,97.00244345,84.58840757,44.13419318,30745.74493,44450.17202,34.21440287,0.000431876,0.691690122,341.4365169
24,cis-2-hexene,C/C=C\CCC,86.51010176,79.15647671,54.15605153,30153.77056,44386.5827,35.57576837,0.000239931,0.679344269,339.3994048
25,trans-3-methyl-2-pentene,C/C=C(C)/CC,97.00244345,84.58840757,44.13419318,30745.74493,44450.17202,34.21440287,0.000611824,0.691690122,341.4365169
26,"2,2-dimethylpentane",CC(C)(C)CCC,91.50523699,86.77797151,47.83549278,30189.40057,44587.11441,23.60002815,0,0.67708801,350.7965989
27,methylcyclopentane,CC1CCCC1,89.39923947,82.17257809,35.354921,32327.78549,43522.6784,39.48862861,0,0.74278024,343.2189051
28,"2,4-dimethylpentane",CC(C)CC(C)C,84.5742951,76.11987619,48.3585971,30574.76518,44352.29602,20.5161093,0,0.689361497,358.7715206
29,"2,2,3-trimethylbutane",CC(C)(C)C(C)C,112.4394421,106.7565713,51.97822028,30325.63065,44474.95283,24.12472364,0,0.681858635,355.0770228
30,benzene,C1=CC=CC=C1,102.0322695,93.44028818,105.825604,35581.38025,40423.11886,39.98389841,0,0.880223527,357.2742244
31,"3,3-dimethylpentane",CCC(C)(C)CC,81.51294293,87.99336088,47.83549278,30189.40057,44587.11441,20.93276447,0,0.67708801,361.633436
32,cyclohexane,C1CCCCC1,83.17936286,75.59045645,39.58368712,33452.746,43394.04596,31.50011968,0,0.77090636,356.9099321
33,trans 2-methyl-3-hexene,CC(C)/C=C/CC,101.2031798,82.74984439,61.67557814,30776.23197,44056.51374,18.87186222,0.000154241,0.698562582,360.2143226
34,2-methylhexane,CC(C)CCCC,48.412034,47.98374361,43.6187478,30392.62176,44495.71974,16.30814774,0,0.683045964,363.894012
35,"2,3-dimethylpentane",CC(C)C(C)CC,92.28666138,79.15708307,48.3585971,30574.76518,44352.29602,18.05832992,0,0.689361497,358.7715206
36,"1,1-dimethylcyclopentane",CC1(C)CCCC1,92.69793846,88.51306012,57.77709258,32775.19757,43452.82804,17.15785091,0,0.754270758,360.9842813
37,3-methylhexane,CCC(C)CCC,52.99700461,58.25645743,43.6187478,30392.62176,44495.71974,15.60002561,0,0.683045964,363.894012
38,"cis 3,4-dimethyl-2-pentene",C/C=C(C)\C(C)C,96.90078849,82.31237814,65.82904148,31289.48188,44140.52964,18.35781599,0.000133676,0.70886059,360.2506852
39,"cis 1,3-dimethylcyclopentane",C[C@@H]1C[C@H](C)CC1,77.72763209,73.20820714,46.21527717,32688.79736,43452.82804,16.39653461,0,0.752282391,365.6135832
40,3-ethylpentane,CCC(CC)CC,62.65189945,69.69862859,43.6187478,30392.62176,44495.71974,15.20100481,0,0.683045964,363.894012
41,"trans-1,2-dimethylcyclopentane",C[C@H]1[C@H](C)CCC1,102.0454722,87.29494264,46.21527717,32688.79736,43452.82804,15.85341776,0,0.752282391,365.6135832
42,"2,2,4-trimethylpentane",CC(C)(C)CC(C)C,99.72608461,109.785355,59.36284756,31487.59757,44349.58403,8.703392407,0,0.709986311,375.3585001
43,cis-3-methyl-3-hexene,CC/C(C)=C\CC,92.60403738,80.059795,52.09493181,31660.49223,44314.19248,13.32633206,0.000205655,0.714454906,369.0060476
44,trans-3-heptene,CC/C=C/CCC,86.36096066,78.73561187,61.22287483,31068.06964,44264.95712,12.07676827,0.000287917,0.701866028,367.9223445
45,n-heptane,CCCCCCC,2.785198731,7.371766655,41.40248778,30349.84718,44657.25508,12.38038161,0,0.679617391,371.7310186
46,cis-3-heptene,CC/C=C\CCC,86.36096066,78.73561187,61.22287483,31068.06964,44264.95712,12.07676827,0.000606683,0.701866028,367.9223445
47,trans-3-methyl-3-hexene,CC/C(C)=C/CC,92.60403738,80.059795,52.09493181,31660.49223,44314.19248,13.32633206,0.000205655,0.714454906,369.0060476
48,trans-2-heptene,C/C=C/CCCC,74.71501006,65.74032702,61.22287483,31068.06964,44264.95712,12.03503103,0.000205655,0.701866028,367.9223445
49,3-ethyl-2-pentene,CC=C(CC)CC,92.60403738,80.059795,52.09493181,31660.49223,44314.19248,17.48189072,0.000133676,0.714454906,369.0060476
50,trans 3-methyl-2-hexene,C/C=C(C)/CCC,92.60403738,80.059795,52.09493181,31660.49223,44314.19248,14.28367557,0.000421593,0.714454906,369.0060476
51,1-heptene,C=CCCCCC,53.93201588,50.31362805,51.03346748,30777.74175,44266.96877,12.62829537,0.000246786,0.695275566,364.4554252
52,"cis 1,2-dimethylcyclopentane",C[C@@H]1[C@H](C)CCC1,102.0454722,87.29494264,46.21527717,32688.79736,43452.82804,15.85341776,0,0.752282391,365.6135832
53,methylcyclohexane,CC1CCCCC1,73.14798321,72.43474117,53.98400309,33621.84525,43222.87955,10.17813309,0,0.777871479,376.7684437
54,"2,2-dimethylhexane",CC(C)(C)CCCC,70.26014473,79.2261299,54.76061096,31341.40522,44457.44421,8.245667096,0,0.704975416,379.9131881
55,"2,5-dimethylhexane",CC(C)CCC(C)C,62.80921141,58.13253003,55.63222241,31429.18376,44255.83199,7.907938283,0,0.710170442,385.9954743
56,"2,4-dimethylhexane",CC(C)CC(C)CC,69.20204603,75.72782985,55.63222241,31429.18376,44255.83199,7.141817064,0,0.710170442,385.9954743
57,"1, 2,4-trimethylcyclopentane",CC1CC(C)C(C)C1,89.1166591,81.88110364,60.2097673,33183.52395,43461.4316,8.886915857,0,0.763516588,388.0942867
58,"3,3-dimethylhexane",CCC(C)(C)CCC,58.47069234,80.72032233,54.76061096,31341.40522,44457.44421,7.159961357,0,0.704975416,385.5629633
59,toluene,CC1=CC=CC=C1,120.0589148,100.8980314,196.8847215,35405.38405,40719.30952,7.729943098,0,0.869498635,381.8488507
60,"2,3-dimethylhexane",CC(C)C(C)CCC,69.20204603,75.72782985,55.63222241,31429.18376,44255.83199,6.034080226,0,0.710170442,385.9954743
61,2-methyl-3-ethylpentane,CC(C)C(CC)CC,87.75963966,86.77804495,55.63222241,31429.18376,44255.83199,5.859783293,0,0.710170442,385.9954743
62,2-methylheptane,CC(C)CCCCC,24.90068992,27.00855712,50.48369923,31275.44494,44384.22731,5.924490352,0,0.704652234,391.1218515
63,4-methylheptane,CCCC(C)CCC,27.95744343,43.68196501,50.48369923,31275.44494,44384.22731,5.297539998,0,0.704652234,391.1218515
64,"3,4-dimethylhexane",CCC(C)C(C)CC,77.83523437,79.60950998,55.63222241,31429.18376,44255.83199,5.784732265,0,0.710170442,385.9954743
65,3-methylheptane,CCC(C)CCCC,27.95744343,43.68196501,50.48369923,31275.44494,44384.22731,5.285224109,0,0.704652234,391.1218515
66,3-ethylhexane,CCC(CC)CCC,31.29142946,51.77772812,50.48369923,31275.44494,44384.22731,5.253719395,0,0.704652234,391.1218515
67,"2,2,5-trimethylhexane",CC(C)(C)CCC(C)C,106.484189,106.106916,66.83454299,32368.54389,44264.84035,4.332486261,0,0.731247275,401.7794318
68,"trans-1,2-dimethylcyclohexane",C[C@H]1[C@H](C)CCCC1,94.18962193,78.20111347,70.63904035,33778.21802,43174.10394,4.830509768,0,0.782372185,395.7314947
69,n-octane,CCCCCCCC,-24.65666928,-19.46447513,47.87673972,31240.22428,44515.1306,4.403508745,0,0.701788894,399.0346364
70,"2,4-dimethyl heptane",CC(C)CC(C)CCC,49.85785216,66.71163806,62.98572288,32097.7516,44191.72495,3.006336245,0,0.726329457,410.8752705
71,"2,6-dimethylheptane",CC(C)CCCC(C)C,42.03348617,40.06057436,62.98572288,32097.7516,44191.72495,3.914264352,0,0.726329457,410.8752705
72,"2,5-dimethylheptane",CC(C)CCC(C)CC,49.85785216,66.71163806,62.98572288,32097.7516,44191.72495,2.935909838,0,0.726329457,410.8752705
73,"3,5-dimethylheptane",CCC(C)CC(C)CC,55.76219522,77.71230246,62.98572288,32097.7516,44191.72495,2.517733522,0,0.726329457,410.8752705
74,ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
75,m-xylene,CC1=CC=CC(C)=C1,142.9356239,103.5317734,224.0880903,35633.81328,40874.4572,2.204135448,0,0.871786825,410.5326928
76,p-xylene,CC1=CC=C(C)C=C1,146.2408327,89.53794871,247.9888439,35633.81328,40874.4572,2.246814888,0,0.871786825,410.5326928
77,4-methyloctane,CCCC(C)CCCC,2.872365668,23.46156967,57.42321737,31962.10152,44305.42484,2.241510534,0,0.721403793,416.198313
78,2-methyloctane,CC(C)CCCCCC,4.234519354,7.541789552,57.42321737,31962.10152,44305.42484,2.182586504,0,0.721403793,416.198313
79,o-xylene,CC1=CC=CC=C1C,121.0922157,100.9284239,251.3382981,35633.81328,40874.4572,1.978473244,0,0.871786825,410.5326928
80,n-nonane,CCCCCCCCC,-47.09632788,-41.16113255,54.42002374,31930.73628,44409.50793,1.51387465,0,0.719006757,424.3481456
81,isopropylbenzene,CC(C1=CC=CC=C1)C,68.05719129,62.54592979,247.625646,35210.67371,41167.6006,1.090523393,0,0.855300605,423.6694135
82,n-propylbenzene,CCCC1=CC=CC=C1,104.3568384,97.35795925,215.4010971,35519.63087,41227.00894,1.091183343,0,0.86156216,432.4073229
83,m-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
84,p-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
85,"1,3,5-trimethylbenzene",CC1=CC(C)=CC(C)=C1,169.5334049,108.1314102,305.6115798,36021.91624,40969.86593,1.277217781,0,0.879229537,440.9925141
86,o-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
87,"1,2,4-trimethylbenzene",CC1=CC=C(C)C(C)=C1,146.9654362,109.4936337,309.223736,36021.91624,40969.86593,0.995365896,0,0.879229537,440.9925141
88,n-decane,CCCCCCCCCC,-63.63147268,-56.78726727,61.03310417,32465.90232,44326.94397,0.449755493,0,0.732419143,447.8361434
89,"1,2,3-trimethylbenzene",CC1=C(C)C(C)=CC=C1,117.6866778,101.4773864,299.7384817,36021.91624,40969.86593,0.709439173,0,0.879229537,440.9925141
90,n-undecane,CCCCCCCCCCC,-74.62340123,-67.13433786,67.71674466,32883.82856,44259.19467,0.139668196,0,0.742982985,469.6748556
91,indan,C12=C(CCC2)C=CC=C1,101.7576754,89.80723042,426.8015601,40255.60483,40428.54243,1.544906927,0,0.995722389,450.6622193
92,1-methyl-2-isopropylbenzene,CC(C1=CC=CC=C1C)C,76.2537073,93.83495839,399.4007653,35789.34855,41370.04088,0.636132857,0,0.86510305,445.0348601
93,"1,3-diethylbenzene",CCC1=CC(CC)=CC=C1,101.5634214,95.23971752,245.3930114,35957.47954,41431.52904,0.330304751,0,0.867877203,457.7320788
94,1-methyl-3-propylbenzene,CCCC1=CC(C)=CC=C1,99.24017342,95.23971752,245.3930114,35957.47954,41431.52904,0.423242277,0,0.867877203,457.7320788
95,1-methyl-4-propylbenzene,CCCC1=CC=C(C)C=C1,100.6407079,97.40070822,270.1455862,35957.47954,41431.52904,0.391658332,0,0.867877203,457.7320788
96,"1-ethyl-2,3-dimethylbenzene",CC1=C(C)C(CC)=CC=C1,99.83836057,94.51806769,348.7553447,36246.988,41250.55962,0.172565495,0,0.87870294,462.8996091
97,"1,4-diethylbenzene",CCC1=CC=C(CC)C=C1,102.2972493,97.40070822,270.1455862,35957.47954,41431.52904,0.379575338,0,0.867877203,457.7320788
98,1-methyl-2-propylbenzene,CCCC1=CC=CC=C1C,100.7487114,92.54522739,322.9424494,35957.47954,41431.52904,0.34202211,0,0.867877203,457.7320788
99,"2-ethyl-1,4-dimethylbenzene",CC1=CC=C(C)C(CC)=C1,100.8134331,96.28836741,355.2338703,36246.988,41250.55962,0.323744835,0,0.87870294,462.8996091
100,3-methyldecane,CCC(C)CCCCCCC,-35.95955668,-22.63220825,71.52893994,32923.06285,44201.90486,0.227584977,0,0.744833576,460.6616564
101,"1,2,4,5-tetramethylbenzene",CC1=C(C)C=C(C)C(C)=C1,140.2054711,107.329514,387.1796462,36468.05018,41079.11515,0.36254887,0,0.8877516,471.9257179
102,"1,2,3,5-tetramethylbenzene",CC1=CC(C)=C(C)C(C)=C1,140.2054711,107.329514,387.1796462,36468.05018,41079.11515,0.256670877,0,0.8877516,471.9257179
103,4-methylindane,CC1=CC=CC2=C1CCC2,117.0900854,85.91210066,481.1222543,38681.56507,40266.27082,0.135799058,0,0.960644338,475.3673206
104,"1,2,3,4-tetramethylbenzene",CC1=CC=C(C)C(C)=C1C,100.8767872,99.8720539,389.6053553,36468.05018,41079.11515,0.248339086,0,0.8877516,471.9257179
105,naphthalene,C12=CC=CC=C1C=CC=C2,106.3151276,107.8026996,494.3887559,44888.57689,39541.60846,0.219653398,0,1.135223847,492.3417695
106,n-dodecane,CCCCCCCCCCCC,-81.04802923,-73.71370547,74.47170778,33215.27065,44201.09084,0.069069779,0,0.751458166,490.0389969
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
