NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
1,isobutane,CC(C)C,103.3274869,99.12263053,23.46376722,26073.1581,45337.8383,421.7802107,0,0.575086045,268.3646629
2,1-butene,C=CCC,97.43714972,81.97752834,31.60894418,26482.80866,44935.73382,375.2740991,0.000215938,0.58934853,268.6817715
3,n-butane,CCCC,86.86123044,84.62073371,22.38627983,26047.41368,45645.14952,330.2605741,0,0.570650199,276.8813836
4,isopentane,CCC(C)C,90.40230736,85.65808115,30.10953729,27834.19816,44916.51257,136.7935299,0,0.619687428,302.5105922
5,1-pentene,C=CCCC,88.38541378,74.49141121,38.00364645,28199.50177,44591.82954,127.6661893,0.000100771,0.632391675,302.5037457
6,2-methyl-1-butene,C=C(C)CC,103.3515434,82.50144696,34.41939971,28923.76328,44585.40708,113.1344569,0.000359897,0.648727132,303.9150342
7,n-pentane,CCCCC,61.86980994,63.54538732,28.658022,27784.87162,45160.73609,110.5585735,0,0.615243994,310.680615
8,trans-2-pentene,C/C=C/CC,93.80804163,89.26390254,47.18209563,28991.17358,44585.40708,124.3530223,0.00024473,0.650239069,309.2318038
9,cis-2-pentene,C/C=C\CC,93.80804163,89.26390254,47.18209563,28991.17358,44585.40708,124.3530223,0.000158355,0.650239069,309.2318038
10,2-methyl-1-butene,C=C(C)CC,103.3515434,82.50144696,34.41939971,28923.76328,44585.40708,113.1344569,0.000676606,0.648727132,303.9150342
11,"2,2-dimethylbutane",CC(C)(C)CC,86.79778516,87.62678923,40.99143919,28724.38587,44778.48083,71.679406,0,0.641477454,323.3888759
12,cyclopentene,C1=CCCC1,139.6892014,63.14389888,44.38499127,33856.49352,43824.10214,90.35572535,0.000148222,0.772554185,317.6272729
13,3-methyl-1-pentene,C=CC(C)CC,95.39659575,80.63648683,45.5331163,29362.8531,44096.65171,46.31610321,0.000107969,0.66587489,327.36875
