NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
77,1-ethyl-4-methylcyclohexane,CC1CCC(CC)CC1,53.36054628,36.37316522,78.91781884,34385.91515,43229.4332,1.799704424,0,0.795428314,419.6310789
78,isopropylbenzene,CC(C1=CC=CC=C1)C,68.05719129,62.54592979,247.625646,35210.67371,41167.6006,1.090523393,0,0.855300605,423.6694135
79,"4,4-dimethyloctane",CCCC(C)(C)CCCC,23.09757028,49.45469045,68.85712011,32876.17694,44299.99493,1.022381711,0,0.742125975,426.450101
80,"2,7-dimethyloctane",CC(C)CCCCC(C)C,25.47524348,24.1457892,70.41980178,32625.8267,44148.04027,0.937650115,0,0.739009625,433.6148596
81,"2,6-dimethyloctane",CC(C)CCCC(C)CC,31.33691389,51.51759018,70.41980178,32625.8267,44148.04027,0.887161271,0,0.739009625,433.6148596
82,2-methyl-3-ethylheptane,CC(C)C(CC)CCCC,38.50058212,51.51759018,70.41980178,32625.8267,44148.04027,0.938483665,0,0.739009625,433.6148596
83,n-propylbenzene,CCCC1=CC=CC=C1,104.3568384,97.35795925,215.4010971,35551.01159,41263.43198,1.091183343,0,0.86156216,432.4073229
84,m-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
85,p-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
86,4-ethyloctane,CCCC(CC)CCCC,-19.11508595,0.033555968,64.43804979,32498.56707,44247.13102,0.640082243,0,0.734478515,439.3094501
87,"1,3,5-trimethylbenzene",CC1=CC(C)=CC(C)=C1,169.5334049,108.1314102,305.6115798,36021.91624,40969.86593,1.277217781,0,0.879229537,440.9925141
88,5-methylnonane,CCCCC(C)CCCC,-19.11508595,0.033555968,64.43804979,32498.56707,44247.13102,0.583789537,0,0.734478515,439.3094501
89,4-methylnonane,CCCC(C)CCCCC,-19.11508595,0.033555968,64.43804979,32498.56707,44247.13102,0.552096054,0,0.734478515,439.3094501
90,2-methylnonane,CC(C)CCCCCCC,-11.38690354,-8.178571309,64.43804979,32498.56707,44247.13102,0.547522937,0,0.734478515,439.3094501
91,o-ethylbenzene,CCC1=CC=CC=C1,103.9493656,99.98476641,206.0927379,35484.87372,41019.10644,2.178834404,0,0.865081588,407.8564747
92,3-methylnonane,CCC(C)CCCCCC,-19.11508595,0.033555968,64.43804979,32498.56707,44247.13102,0.588565819,0,0.734478515,439.3094501
93,"1,2,4-trimethylbenzene",CC1=CC=C(C)C(C)=C1,146.9654362,109.4936337,309.223736,36021.91624,40969.86593,0.995365896,0,0.879229537,440.9925141
94,n-decane,CCCCCCCCCC,-63.63147268,-56.78726727,61.03310417,32465.90232,44326.94397,0.449755493,0,0.732419143,447.8361434
95,"1,2,3-trimethylbenzene",CC1=C(C)C(C)=CC=C1,117.6866778,101.4773864,299.7384817,36021.91624,40969.86593,0.709439173,0,0.879229537,440.9925141
96,n-undecane,CCCCCCCCCCC,-74.62340123,-67.13433786,67.71674466,32883.82856,44259.19467,0.139668196,0,0.742982985,469.6748556
